x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.003530372561062368, shape=(), dtype=float64)","tf.Tensor(2.2729398336187554, shape=(), dtype=float64)",0.015,"tf.Tensor(2.2231825304650755e-19, shape=(), dtype=float64)","tf.Tensor(1.6925096472429433e-19, shape=(), dtype=float64)","tf.Tensor(42.95017702530485, shape=(), dtype=float64)","tf.Tensor([[-2.99180542e-03 -3.50675947e-06  1.08681306e-01  6.24832268e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.005803312394681123, shape=(), dtype=float64)","tf.Tensor(1.0423353442810728, shape=(), dtype=float64)",0.016,"tf.Tensor(8.36861134016073e-19, shape=(), dtype=float64)","tf.Tensor(6.145428809695654e-19, shape=(), dtype=float64)","tf.Tensor(41.624628805330254, shape=(), dtype=float64)","tf.Tensor([[-1.24033334e-03 -5.15458824e-06  1.26395018e-01  5.90652631e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.006845647738962196, shape=(), dtype=float64)","tf.Tensor(-0.04476459245316344, shape=(), dtype=float64)",0.017,"tf.Tensor(2.759580772241947e-18, shape=(), dtype=float64)","tf.Tensor(1.9227196382258744e-18, shape=(), dtype=float64)","tf.Tensor(40.43145289981608, shape=(), dtype=float64)","tf.Tensor([[ 1.52623113e-03 -7.34061570e-06  1.41773108e-01  5.07883439e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.006800883146509032, shape=(), dtype=float64)","tf.Tensor(1.4624414718834158, shape=(), dtype=float64)",0.018000000000000002,"tf.Tensor(4.9599533364504746e-18, shape=(), dtype=float64)","tf.Tensor(2.2003725642085274e-18, shape=(), dtype=float64)","tf.Tensor(39.845135341173936, shape=(), dtype=float64)","tf.Tensor([[-6.95729464e-03 -3.63687569e-07  8.83519651e-02  7.96559266e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.008263324618392447, shape=(), dtype=float64)","tf.Tensor(0.6734318220070956, shape=(), dtype=float64)",0.019,"tf.Tensor(1.7804744379433278e-17, shape=(), dtype=float64)","tf.Tensor(1.2844791042982804e-17, shape=(), dtype=float64)","tf.Tensor(38.56706671393936, shape=(), dtype=float64)","tf.Tensor([[-1.40942858e-02  5.94121952e-06  3.29243763e-02  1.01552406e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.008936756440399544, shape=(), dtype=float64)","tf.Tensor(0.04985062363201531, shape=(), dtype=float64)",0.02,"tf.Tensor(4.8736521224851393e-17, shape=(), dtype=float64)","tf.Tensor(3.0931776845418115e-17, shape=(), dtype=float64)","tf.Tensor(37.56010300237409, shape=(), dtype=float64)","tf.Tensor([[-1.97361743e-02  1.14389384e-05 -2.44952577e-02  1.20193315e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.008986607064031558, shape=(), dtype=float64)","tf.Tensor(1.617922347065717, shape=(), dtype=float64)",0.021,"tf.Tensor(7.14285212586564e-17, shape=(), dtype=float64)","tf.Tensor(2.2692000033805003e-17, shape=(), dtype=float64)","tf.Tensor(37.177834426905, shape=(), dtype=float64)","tf.Tensor([[ 1.55703759e-03 -8.56906507e-06  1.75455846e-01  5.51741262e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.010604529411097276, shape=(), dtype=float64)","tf.Tensor(1.3364375154798633, shape=(), dtype=float64)",0.022,"tf.Tensor(2.5886456748738956e-16, shape=(), dtype=float64)","tf.Tensor(1.8743604622873316e-16, shape=(), dtype=float64)","tf.Tensor(35.890226654410114, shape=(), dtype=float64)","tf.Tensor([[ 2.45451713e-02 -2.93305303e-05  3.72232580e-01 -1.71104216e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.011940966926577139, shape=(), dtype=float64)","tf.Tensor(1.2404692738104695, shape=(), dtype=float64)",0.023,"tf.Tensor(8.421926787181463e-16, shape=(), dtype=float64)","tf.Tensor(5.833281112307567e-16, shape=(), dtype=float64)","tf.Tensor(34.71052285124701, shape=(), dtype=float64)","tf.Tensor([[ 4.93953403e-02 -5.09923385e-05  5.65830953e-01 -9.53053755e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.013181436200387609, shape=(), dtype=float64)","tf.Tensor(1.3363145219135288, shape=(), dtype=float64)",0.024,"tf.Tensor(2.154666993212038e-15, shape=(), dtype=float64)","tf.Tensor(1.312474314493892e-15, shape=(), dtype=float64)","tf.Tensor(33.771140210807395, shape=(), dtype=float64)","tf.Tensor([[ 7.62810368e-02 -7.36741194e-05  7.56247292e-01 -1.78928028e-04]], shape=(1, 4), dtype=float64)"
