x0,x1,time,det_fi
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(4.3453813, shape=(), dtype=float32)",0.001,0.0
"tf.Tensor(0.0043453816, shape=(), dtype=float32)","tf.Tensor(9.121796, shape=(), dtype=float32)",0.002,0.0
"tf.Tensor(0.013467178, shape=(), dtype=float32)","tf.Tensor(13.875489, shape=(), dtype=float32)",0.003,0.0
"tf.Tensor(0.027342668, shape=(), dtype=float32)","tf.Tensor(18.606117, shape=(), dtype=float32)",0.004,0.0
"tf.Tensor(0.04594879, shape=(), dtype=float32)","tf.Tensor(23.313343, shape=(), dtype=float32)",0.005,0.0
"tf.Tensor(0.06926213, shape=(), dtype=float32)","tf.Tensor(27.996828, shape=(), dtype=float32)",0.006,0.0
"tf.Tensor(0.09725896, shape=(), dtype=float32)","tf.Tensor(32.656242, shape=(), dtype=float32)",0.007,0.0
"tf.Tensor(0.12991521, shape=(), dtype=float32)","tf.Tensor(37.291256, shape=(), dtype=float32)",0.008,0.0
"tf.Tensor(0.16720647, shape=(), dtype=float32)","tf.Tensor(41.901543, shape=(), dtype=float32)",0.009000000000000001,0.0
"tf.Tensor(0.20910801, shape=(), dtype=float32)","tf.Tensor(46.486786, shape=(), dtype=float32)",0.01,0.0
"tf.Tensor(0.2555948, shape=(), dtype=float32)","tf.Tensor(51.046665, shape=(), dtype=float32)",0.011,0.0
"tf.Tensor(0.30664146, shape=(), dtype=float32)","tf.Tensor(55.580868, shape=(), dtype=float32)",0.012,0.0
"tf.Tensor(0.3622223, shape=(), dtype=float32)","tf.Tensor(60.089085, shape=(), dtype=float32)",0.013000000000000001,0.0
"tf.Tensor(0.4223114, shape=(), dtype=float32)","tf.Tensor(64.571014, shape=(), dtype=float32)",0.014,0.0
"tf.Tensor(0.48688242, shape=(), dtype=float32)","tf.Tensor(69.02635, shape=(), dtype=float32)",0.015,0.0
"tf.Tensor(0.5559088, shape=(), dtype=float32)","tf.Tensor(73.454796, shape=(), dtype=float32)",0.016,0.0
"tf.Tensor(0.6293636, shape=(), dtype=float32)","tf.Tensor(77.85606, shape=(), dtype=float32)",0.017,0.0
"tf.Tensor(0.70721966, shape=(), dtype=float32)","tf.Tensor(82.22984, shape=(), dtype=float32)",0.018000000000000002,0.0
"tf.Tensor(0.7894495, shape=(), dtype=float32)","tf.Tensor(86.575874, shape=(), dtype=float32)",0.019,0.0
"tf.Tensor(0.8760254, shape=(), dtype=float32)","tf.Tensor(90.89386, shape=(), dtype=float32)",0.02,0.0
"tf.Tensor(0.96691924, shape=(), dtype=float32)","tf.Tensor(95.183525, shape=(), dtype=float32)",0.021,0.0
"tf.Tensor(1.0621028, shape=(), dtype=float32)","tf.Tensor(99.4446, shape=(), dtype=float32)",0.022,0.0
"tf.Tensor(1.1615474, shape=(), dtype=float32)","tf.Tensor(103.67681, shape=(), dtype=float32)",0.023,0.0
"tf.Tensor(1.2652242, shape=(), dtype=float32)","tf.Tensor(107.87989, shape=(), dtype=float32)",0.024,0.0
"tf.Tensor(1.3731041, shape=(), dtype=float32)","tf.Tensor(112.05358, shape=(), dtype=float32)",0.025,0.0
"tf.Tensor(1.4851577, shape=(), dtype=float32)","tf.Tensor(116.19762, shape=(), dtype=float32)",0.026000000000000002,0.0
"tf.Tensor(1.6013553, shape=(), dtype=float32)","tf.Tensor(120.31175, shape=(), dtype=float32)",0.027,0.0
"tf.Tensor(1.721667, shape=(), dtype=float32)","tf.Tensor(124.39573, shape=(), dtype=float32)",0.028,0.0
"tf.Tensor(1.8460628, shape=(), dtype=float32)","tf.Tensor(128.44931, shape=(), dtype=float32)",0.029,0.0
"tf.Tensor(1.9745121, shape=(), dtype=float32)","tf.Tensor(132.47224, shape=(), dtype=float32)",0.03,0.0
"tf.Tensor(2.1069844, shape=(), dtype=float32)","tf.Tensor(136.4643, shape=(), dtype=float32)",0.031,0.0
"tf.Tensor(2.2434487, shape=(), dtype=float32)","tf.Tensor(140.42523, shape=(), dtype=float32)",0.032,0.0
"tf.Tensor(2.383874, shape=(), dtype=float32)","tf.Tensor(144.35481, shape=(), dtype=float32)",0.033,0.0
"tf.Tensor(2.5282288, shape=(), dtype=float32)","tf.Tensor(148.25282, shape=(), dtype=float32)",0.034,0.0
"tf.Tensor(2.6764815, shape=(), dtype=float32)","tf.Tensor(152.11903, shape=(), dtype=float32)",0.035,0.0
"tf.Tensor(2.8286004, shape=(), dtype=float32)","tf.Tensor(155.95323, shape=(), dtype=float32)",0.036000000000000004,0.0
"tf.Tensor(2.9845536, shape=(), dtype=float32)","tf.Tensor(159.7552, shape=(), dtype=float32)",0.037,0.0
"tf.Tensor(3.1443088, shape=(), dtype=float32)","tf.Tensor(163.52473, shape=(), dtype=float32)",0.038,0.0
"tf.Tensor(3.3078337, shape=(), dtype=float32)","tf.Tensor(167.26163, shape=(), dtype=float32)",0.039,0.0
"tf.Tensor(3.4750953, shape=(), dtype=float32)","tf.Tensor(170.96567, shape=(), dtype=float32)",0.04,0.0
"tf.Tensor(3.646061, shape=(), dtype=float32)","tf.Tensor(174.63666, shape=(), dtype=float32)",0.041,0.0
"tf.Tensor(3.8206975, shape=(), dtype=float32)","tf.Tensor(178.27441, shape=(), dtype=float32)",0.042,0.0
"tf.Tensor(3.998972, shape=(), dtype=float32)","tf.Tensor(181.87874, shape=(), dtype=float32)",0.043000000000000003,0.0
"tf.Tensor(4.1808505, shape=(), dtype=float32)","tf.Tensor(185.44945, shape=(), dtype=float32)",0.044,0.0
"tf.Tensor(4.3663, shape=(), dtype=float32)","tf.Tensor(188.98636, shape=(), dtype=float32)",0.045,0.0
"tf.Tensor(4.5552864, shape=(), dtype=float32)","tf.Tensor(192.48929, shape=(), dtype=float32)",0.046,0.0
"tf.Tensor(4.7477756, shape=(), dtype=float32)","tf.Tensor(195.95807, shape=(), dtype=float32)",0.047,0.0
"tf.Tensor(4.9437337, shape=(), dtype=float32)","tf.Tensor(199.39253, shape=(), dtype=float32)",0.048,0.0
"tf.Tensor(5.143126, shape=(), dtype=float32)","tf.Tensor(202.79251, shape=(), dtype=float32)",0.049,0.0
"tf.Tensor(5.3459187, shape=(), dtype=float32)","tf.Tensor(206.15784, shape=(), dtype=float32)",0.05,0.0
"tf.Tensor(5.5520763, shape=(), dtype=float32)","tf.Tensor(209.48836, shape=(), dtype=float32)",0.051000000000000004,0.0
"tf.Tensor(5.7615647, shape=(), dtype=float32)","tf.Tensor(212.7839, shape=(), dtype=float32)",0.052000000000000005,0.0
"tf.Tensor(5.9743485, shape=(), dtype=float32)","tf.Tensor(216.04434, shape=(), dtype=float32)",0.053,0.0
"tf.Tensor(6.190393, shape=(), dtype=float32)","tf.Tensor(219.26953, shape=(), dtype=float32)",0.054,0.0
"tf.Tensor(6.4096627, shape=(), dtype=float32)","tf.Tensor(222.45932, shape=(), dtype=float32)",0.055,0.0
"tf.Tensor(6.632122, shape=(), dtype=float32)","tf.Tensor(225.61357, shape=(), dtype=float32)",0.056,0.0
"tf.Tensor(6.8577356, shape=(), dtype=float32)","tf.Tensor(228.73215, shape=(), dtype=float32)",0.057,0.0
"tf.Tensor(7.0864677, shape=(), dtype=float32)","tf.Tensor(231.81491, shape=(), dtype=float32)",0.058,0.0
"tf.Tensor(7.3182826, shape=(), dtype=float32)","tf.Tensor(234.86176, shape=(), dtype=float32)",0.059000000000000004,0.0
"tf.Tensor(7.5531445, shape=(), dtype=float32)","tf.Tensor(237.87254, shape=(), dtype=float32)",0.06,0.0
"tf.Tensor(7.791017, shape=(), dtype=float32)","tf.Tensor(240.84717, shape=(), dtype=float32)",0.061,0.0
"tf.Tensor(8.031864, shape=(), dtype=float32)","tf.Tensor(243.7855, shape=(), dtype=float32)",0.062,0.0
"tf.Tensor(8.27565, shape=(), dtype=float32)","tf.Tensor(246.68744, shape=(), dtype=float32)",0.063,0.0
"tf.Tensor(8.522338, shape=(), dtype=float32)","tf.Tensor(249.55287, shape=(), dtype=float32)",0.064,0.0
"tf.Tensor(8.771891, shape=(), dtype=float32)","tf.Tensor(252.3817, shape=(), dtype=float32)",0.065,0.0
"tf.Tensor(9.024272, shape=(), dtype=float32)","tf.Tensor(255.17383, shape=(), dtype=float32)",0.066,0.0
"tf.Tensor(9.279446, shape=(), dtype=float32)","tf.Tensor(257.92917, shape=(), dtype=float32)",0.067,0.0
"tf.Tensor(9.5373745, shape=(), dtype=float32)","tf.Tensor(260.6476, shape=(), dtype=float32)",0.068,0.0
"tf.Tensor(9.798022, shape=(), dtype=float32)","tf.Tensor(263.32907, shape=(), dtype=float32)",0.069,0.0
"tf.Tensor(10.061352, shape=(), dtype=float32)","tf.Tensor(265.97348, shape=(), dtype=float32)",0.07,0.0
"tf.Tensor(10.327325, shape=(), dtype=float32)","tf.Tensor(268.58075, shape=(), dtype=float32)",0.07100000000000001,0.0
"tf.Tensor(10.595905, shape=(), dtype=float32)","tf.Tensor(271.15082, shape=(), dtype=float32)",0.07200000000000001,0.0
"tf.Tensor(10.867056, shape=(), dtype=float32)","tf.Tensor(273.6836, shape=(), dtype=float32)",0.073,0.0
"tf.Tensor(11.140739, shape=(), dtype=float32)","tf.Tensor(276.17902, shape=(), dtype=float32)",0.074,0.0
"tf.Tensor(11.416919, shape=(), dtype=float32)","tf.Tensor(278.63702, shape=(), dtype=float32)",0.075,0.0
"tf.Tensor(11.695556, shape=(), dtype=float32)","tf.Tensor(281.05756, shape=(), dtype=float32)",0.076,0.0
"tf.Tensor(11.976613, shape=(), dtype=float32)","tf.Tensor(283.44055, shape=(), dtype=float32)",0.077,0.0
"tf.Tensor(12.260054, shape=(), dtype=float32)","tf.Tensor(285.78595, shape=(), dtype=float32)",0.078,0.0
"tf.Tensor(12.545839, shape=(), dtype=float32)","tf.Tensor(288.09372, shape=(), dtype=float32)",0.079,0.0
"tf.Tensor(12.833933, shape=(), dtype=float32)","tf.Tensor(290.3638, shape=(), dtype=float32)",0.08,0.0
"tf.Tensor(13.124297, shape=(), dtype=float32)","tf.Tensor(292.59616, shape=(), dtype=float32)",0.081,0.0
"tf.Tensor(13.416893, shape=(), dtype=float32)","tf.Tensor(294.79077, shape=(), dtype=float32)",0.082,0.0
"tf.Tensor(13.711684, shape=(), dtype=float32)","tf.Tensor(296.9476, shape=(), dtype=float32)",0.083,0.0
"tf.Tensor(14.008632, shape=(), dtype=float32)","tf.Tensor(299.0666, shape=(), dtype=float32)",0.084,0.0
"tf.Tensor(14.307698, shape=(), dtype=float32)","tf.Tensor(301.14774, shape=(), dtype=float32)",0.085,0.0
"tf.Tensor(14.608846, shape=(), dtype=float32)","tf.Tensor(303.191, shape=(), dtype=float32)",0.08600000000000001,0.0
"tf.Tensor(14.912037, shape=(), dtype=float32)","tf.Tensor(305.1964, shape=(), dtype=float32)",0.08700000000000001,0.0
"tf.Tensor(15.217234, shape=(), dtype=float32)","tf.Tensor(307.1639, shape=(), dtype=float32)",0.088,0.0
"tf.Tensor(15.524398, shape=(), dtype=float32)","tf.Tensor(309.09348, shape=(), dtype=float32)",0.089,0.0
"tf.Tensor(15.833491, shape=(), dtype=float32)","tf.Tensor(310.9851, shape=(), dtype=float32)",0.09,0.0
"tf.Tensor(16.144476, shape=(), dtype=float32)","tf.Tensor(312.83884, shape=(), dtype=float32)",0.091,0.0
"tf.Tensor(16.457315, shape=(), dtype=float32)","tf.Tensor(314.65463, shape=(), dtype=float32)",0.092,0.0
"tf.Tensor(16.77197, shape=(), dtype=float32)","tf.Tensor(316.4325, shape=(), dtype=float32)",0.093,0.0
"tf.Tensor(17.088404, shape=(), dtype=float32)","tf.Tensor(318.17242, shape=(), dtype=float32)",0.094,0.0
"tf.Tensor(17.406576, shape=(), dtype=float32)","tf.Tensor(319.87445, shape=(), dtype=float32)",0.095,0.0
"tf.Tensor(17.72645, shape=(), dtype=float32)","tf.Tensor(321.53857, shape=(), dtype=float32)",0.096,0.0
"tf.Tensor(18.047989, shape=(), dtype=float32)","tf.Tensor(323.16483, shape=(), dtype=float32)",0.097,0.0
"tf.Tensor(18.371153, shape=(), dtype=float32)","tf.Tensor(324.7532, shape=(), dtype=float32)",0.098,0.0
"tf.Tensor(18.695906, shape=(), dtype=float32)","tf.Tensor(326.30374, shape=(), dtype=float32)",0.099,0.0
"tf.Tensor(19.02221, shape=(), dtype=float32)","tf.Tensor(327.81647, shape=(), dtype=float32)",0.1,0.0
"tf.Tensor(19.350025, shape=(), dtype=float32)","tf.Tensor(329.2914, shape=(), dtype=float32)",0.101,0.0
"tf.Tensor(19.679317, shape=(), dtype=float32)","tf.Tensor(330.72864, shape=(), dtype=float32)",0.10200000000000001,0.0
"tf.Tensor(20.010046, shape=(), dtype=float32)","tf.Tensor(332.12814, shape=(), dtype=float32)",0.10300000000000001,0.0
"tf.Tensor(20.342175, shape=(), dtype=float32)","tf.Tensor(333.49, shape=(), dtype=float32)",0.10400000000000001,0.0
"tf.Tensor(20.675665, shape=(), dtype=float32)","tf.Tensor(334.8142, shape=(), dtype=float32)",0.105,0.0
"tf.Tensor(21.010479, shape=(), dtype=float32)","tf.Tensor(336.10086, shape=(), dtype=float32)",0.106,0.0
"tf.Tensor(21.34658, shape=(), dtype=float32)","tf.Tensor(337.34998, shape=(), dtype=float32)",0.107,0.0
"tf.Tensor(21.683931, shape=(), dtype=float32)","tf.Tensor(338.5616, shape=(), dtype=float32)",0.108,0.0
"tf.Tensor(22.022493, shape=(), dtype=float32)","tf.Tensor(339.73584, shape=(), dtype=float32)",0.109,0.0
"tf.Tensor(22.362228, shape=(), dtype=float32)","tf.Tensor(340.8727, shape=(), dtype=float32)",0.11,0.0
