x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.0039539015302593895, shape=(), dtype=float64)","tf.Tensor(-0.6868914032547859, shape=(), dtype=float64)",0.015,"tf.Tensor(2.8900770674129167e-20, shape=(), dtype=float64)","tf.Tensor(1.755338287253322e-20, shape=(), dtype=float64)","tf.Tensor(44.990418691187244, shape=(), dtype=float64)","tf.Tensor([[ 1.02230088e-02  3.04737723e-06 -1.02537414e-01 -4.55306691e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0032670101270046038, shape=(), dtype=float64)","tf.Tensor(1.9608412989823367, shape=(), dtype=float64)",0.016,"tf.Tensor(8.681438769060632e-20, shape=(), dtype=float64)","tf.Tensor(5.791361701647716e-20, shape=(), dtype=float64)","tf.Tensor(43.890514588140576, shape=(), dtype=float64)","tf.Tensor([[ 1.44822419e-02  3.25118598e-06 -1.36121803e-01 -6.84661294e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0052278514259869405, shape=(), dtype=float64)","tf.Tensor(0.13779284342421594, shape=(), dtype=float64)",0.017,"tf.Tensor(2.5560185421006172e-19, shape=(), dtype=float64)","tf.Tensor(1.6878746651945542e-19, shape=(), dtype=float64)","tf.Tensor(42.81066597605493, shape=(), dtype=float64)","tf.Tensor([[ 1.91228658e-02  3.14625447e-06 -1.71782305e-01 -1.00449805e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.005365644269411157, shape=(), dtype=float64)","tf.Tensor(-0.025035681678815813, shape=(), dtype=float64)",0.018000000000000002,"tf.Tensor(4.638137590264014e-19, shape=(), dtype=float64)","tf.Tensor(2.0821190481633967e-19, shape=(), dtype=float64)","tf.Tensor(42.2148038626324, shape=(), dtype=float64)","tf.Tensor([[ 3.36468099e-03  3.01987379e-06 -4.80083808e-02  1.09341186e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.005340608587732341, shape=(), dtype=float64)","tf.Tensor(0.5694565002847496, shape=(), dtype=float64)",0.019,"tf.Tensor(7.024766641741866e-18, shape=(), dtype=float64)","tf.Tensor(6.560952882715465e-18, shape=(), dtype=float64)","tf.Tensor(39.49708967748214, shape=(), dtype=float64)","tf.Tensor([[ 5.87480440e-02  2.95507910e-06 -4.79326351e-01 -3.77308411e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.005910065088017091, shape=(), dtype=float64)","tf.Tensor(-1.1668377536043317, shape=(), dtype=float64)",0.02,"tf.Tensor(3.901675212524091e-17, shape=(), dtype=float64)","tf.Tensor(3.1991985483499046e-17, shape=(), dtype=float64)","tf.Tensor(37.78254057831695, shape=(), dtype=float64)","tf.Tensor([[ 1.14355078e-01  2.38762776e-06 -9.10867643e-01 -7.66398471e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.004743227334412759, shape=(), dtype=float64)","tf.Tensor(1.6170358371945188, shape=(), dtype=float64)",0.021,"tf.Tensor(1.262034860174344e-16, shape=(), dtype=float64)","tf.Tensor(8.71867338921935e-17, shape=(), dtype=float64)","tf.Tensor(36.60863610120815, shape=(), dtype=float64)","tf.Tensor([[ 1.70206342e-01  1.26627487e-06 -1.33810532e+00 -1.14818484e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0063602631716072775, shape=(), dtype=float64)","tf.Tensor(-0.0704625079711294, shape=(), dtype=float64)",0.022,"tf.Tensor(3.1171728260609707e-16, shape=(), dtype=float64)","tf.Tensor(1.8551379658866266e-16, shape=(), dtype=float64)","tf.Tensor(35.70443504237463, shape=(), dtype=float64)","tf.Tensor([[ 2.26322278e-01 -2.96512256e-07 -1.76550417e+00 -1.53566928e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0062898006636361485, shape=(), dtype=float64)","tf.Tensor(0.8349956997398311, shape=(), dtype=float64)",0.023,"tf.Tensor(3.9912934809161596e-16, shape=(), dtype=float64)","tf.Tensor(8.741206548551889e-17, shape=(), dtype=float64)","tf.Tensor(35.45724612885742, shape=(), dtype=float64)","tf.Tensor([[ 3.12149830e-02  4.55355069e-06 -2.74888781e-01 -1.84507444e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0071247963633759796, shape=(), dtype=float64)","tf.Tensor(-0.7953618671680607, shape=(), dtype=float64)",0.024,"tf.Tensor(1.0256431542909719e-15, shape=(), dtype=float64)","tf.Tensor(6.265138061993559e-16, shape=(), dtype=float64)","tf.Tensor(34.51345651149485, shape=(), dtype=float64)","tf.Tensor([[-1.62412248e-01  8.78896948e-06  1.20668705e+00  1.15658677e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.006329434496207919, shape=(), dtype=float64)","tf.Tensor(2.0939285572607247, shape=(), dtype=float64)",0.025,"tf.Tensor(2.7670653853638852e-15, shape=(), dtype=float64)","tf.Tensor(1.7414222310729133e-15, shape=(), dtype=float64)","tf.Tensor(33.520989063968074, shape=(), dtype=float64)","tf.Tensor([[-3.54521148e-01  1.23335663e-05  2.68361055e+00  2.49514909e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.008423363053468642, shape=(), dtype=float64)","tf.Tensor(0.5113196496562467, shape=(), dtype=float64)",0.026000000000000002,"tf.Tensor(6.3122992216950126e-15, shape=(), dtype=float64)","tf.Tensor(3.5452338363311274e-15, shape=(), dtype=float64)","tf.Tensor(32.6962764072792, shape=(), dtype=float64)","tf.Tensor([[-5.45073768e-01  1.52650316e-05  4.15127869e+00  3.81756842e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.00893468270312489, shape=(), dtype=float64)","tf.Tensor(-1.037276926397287, shape=(), dtype=float64)",0.027,"tf.Tensor(1.2524779492034866e-14, shape=(), dtype=float64)","tf.Tensor(6.212480270339853e-15, shape=(), dtype=float64)","tf.Tensor(32.01106735352109, shape=(), dtype=float64)","tf.Tensor([[-7.34032479e-01  1.73888086e-05  5.60959572e+00  5.13118699e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.007897405776727602, shape=(), dtype=float64)","tf.Tensor(1.9334230258020864, shape=(), dtype=float64)",0.028,"tf.Tensor(2.2821775685024545e-14, shape=(), dtype=float64)","tf.Tensor(1.029699619298968e-14, shape=(), dtype=float64)","tf.Tensor(31.4110612408386, shape=(), dtype=float64)","tf.Tensor([[-9.21359976e-01  1.86602672e-05  7.06295245e+00  6.44315536e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.009830828802529688, shape=(), dtype=float64)","tf.Tensor(0.4318661290622623, shape=(), dtype=float64)",0.029,"tf.Tensor(3.968624149143606e-14, shape=(), dtype=float64)","tf.Tensor(1.6864465806411515e-14, shape=(), dtype=float64)","tf.Tensor(30.857771829212567, shape=(), dtype=float64)","tf.Tensor([[-1.10701927e+00  1.91808208e-05  8.50674950e+00  7.73948065e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.01026269493159195, shape=(), dtype=float64)","tf.Tensor(-0.7301665928200101, shape=(), dtype=float64)",0.03,"tf.Tensor(4.9419045052585816e-14, shape=(), dtype=float64)","tf.Tensor(9.732803561149755e-15, shape=(), dtype=float64)","tf.Tensor(30.638440517633114, shape=(), dtype=float64)","tf.Tensor([[-4.57606253e-01  1.64352725e-05  3.46043961e+00  3.20859620e-03]], shape=(1, 4), dtype=float64)"
