x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(-0.00157007822501195, shape=(), dtype=float64)","tf.Tensor(-1.0262022248246931, shape=(), dtype=float64)",0.015,"tf.Tensor(4.230231395114742e-21, shape=(), dtype=float64)","tf.Tensor(1.85944197679489e-21, shape=(), dtype=float64)","tf.Tensor(46.91203025797613, shape=(), dtype=float64)","tf.Tensor([[ 7.28978735e-04 -4.86752781e-07  2.17593573e-02  5.53650402e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-0.002596280449836643, shape=(), dtype=float64)","tf.Tensor(1.3218007959487097, shape=(), dtype=float64)",0.016,"tf.Tensor(7.98127915197631e-21, shape=(), dtype=float64)","tf.Tensor(3.7510477568615684e-21, shape=(), dtype=float64)","tf.Tensor(46.2771882595252, shape=(), dtype=float64)","tf.Tensor([[ 1.19826140e-03 -5.43457629e-07  2.50667860e-02  6.70868066e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-0.0012744796538879334, shape=(), dtype=float64)","tf.Tensor(-0.8197543288766562, shape=(), dtype=float64)",0.017,"tf.Tensor(1.5038757531579922e-20, shape=(), dtype=float64)","tf.Tensor(7.057478379603611e-21, shape=(), dtype=float64)","tf.Tensor(45.64365624869792, shape=(), dtype=float64)","tf.Tensor([[ 1.76591420e-03 -5.99897592e-07  2.61161176e-02  7.25793153e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-0.00209423398276459, shape=(), dtype=float64)","tf.Tensor(1.5406926204104843, shape=(), dtype=float64)",0.018000000000000002,"tf.Tensor(2.8232982789467515e-20, shape=(), dtype=float64)","tf.Tensor(1.3194225257887593e-20, shape=(), dtype=float64)","tf.Tensor(45.013796055919606, shape=(), dtype=float64)","tf.Tensor([[ 2.43818177e-03 -6.56073909e-07  2.94031946e-02  8.18754692e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-0.0005535413623541055, shape=(), dtype=float64)","tf.Tensor(-0.5884767049789765, shape=(), dtype=float64)",0.019,"tf.Tensor(5.223596737045656e-20, shape=(), dtype=float64)","tf.Tensor(2.4002984580989043e-20, shape=(), dtype=float64)","tf.Tensor(44.398515665173235, shape=(), dtype=float64)","tf.Tensor([[ 3.22127958e-03 -7.11987810e-07  3.04322697e-02  8.39311911e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-0.001142018067333082, shape=(), dtype=float64)","tf.Tensor(1.7842981862034515, shape=(), dtype=float64)",0.02,"tf.Tensor(9.366134313080928e-20, shape=(), dtype=float64)","tf.Tensor(4.142537576035272e-20, shape=(), dtype=float64)","tf.Tensor(43.81460140872688, shape=(), dtype=float64)","tf.Tensor([[ 4.12139406e-03 -7.67640522e-07  3.36991848e-02  8.87262497e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0006422801188703693, shape=(), dtype=float64)","tf.Tensor(-0.3326007845625507, shape=(), dtype=float64)",0.021,"tf.Tensor(1.6525372040615515e-19, shape=(), dtype=float64)","tf.Tensor(7.159237727534587e-20, shape=(), dtype=float64)","tf.Tensor(43.24680496059233, shape=(), dtype=float64)","tf.Tensor([[ 5.14468274e-03 -8.23033264e-07  3.47081921e-02  8.51639524e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0003096793343078186, shape=(), dtype=float64)","tf.Tensor(1.300971806452786, shape=(), dtype=float64)",0.022,"tf.Tensor(1.942912438635072e-19, shape=(), dtype=float64)","tf.Tensor(2.903752345735204e-20, shape=(), dtype=float64)","tf.Tensor(43.084928662543014, shape=(), dtype=float64)","tf.Tensor([[ 1.70555642e-03 -6.90010213e-07  3.26738746e-02  9.86268984e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0016106511407606046, shape=(), dtype=float64)","tf.Tensor(-0.8002902548347275, shape=(), dtype=float64)",0.023,"tf.Tensor(3.2804370600325967e-19, shape=(), dtype=float64)","tf.Tensor(1.3375246213975248e-19, shape=(), dtype=float64)","tf.Tensor(42.56114010335787, shape=(), dtype=float64)","tf.Tensor([[-1.57720182e-03 -5.86679089e-07  2.84031461e-02  1.05941735e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0008103608859258771, shape=(), dtype=float64)","tf.Tensor(1.6001390861893432, shape=(), dtype=float64)",0.024,"tf.Tensor(7.278786665139977e-19, shape=(), dtype=float64)","tf.Tensor(3.99834960510738e-19, shape=(), dtype=float64)","tf.Tensor(41.76415258544512, shape=(), dtype=float64)","tf.Tensor([[-4.69729456e-03 -6.35365320e-07  2.63919391e-02  1.16951500e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0024104999721152203, shape=(), dtype=float64)","tf.Tensor(-0.48915929055470597, shape=(), dtype=float64)",0.025,"tf.Tensor(1.5134243018005443e-18, shape=(), dtype=float64)","tf.Tensor(7.855456352865466e-19, shape=(), dtype=float64)","tf.Tensor(41.03215684099234, shape=(), dtype=float64)","tf.Tensor([[-7.64846852e-03 -7.60042650e-07  2.21448065e-02  1.20425164e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0019213406815605143, shape=(), dtype=float64)","tf.Tensor(1.8744763783610146, shape=(), dtype=float64)",0.026000000000000002,"tf.Tensor(1.768143289896394e-18, shape=(), dtype=float64)","tf.Tensor(2.547189880958498e-19, shape=(), dtype=float64)","tf.Tensor(40.87660166663996, shape=(), dtype=float64)","tf.Tensor([[ 2.82555623e-03 -5.51190062e-07  3.91776707e-02  1.10511122e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0037958170599215286, shape=(), dtype=float64)","tf.Tensor(-0.20279976922192988, shape=(), dtype=float64)",0.027,"tf.Tensor(3.820148436318349e-18, shape=(), dtype=float64)","tf.Tensor(2.0520051464219546e-18, shape=(), dtype=float64)","tf.Tensor(40.10624239435432, shape=(), dtype=float64)","tf.Tensor([[ 1.34189776e-02 -5.24084247e-07  5.38862382e-02  9.18758509e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0035930172906995985, shape=(), dtype=float64)","tf.Tensor(0.8878559175319107, shape=(), dtype=float64)",0.028,"tf.Tensor(1.2159133238983089e-17, shape=(), dtype=float64)","tf.Tensor(8.33898480266474e-18, shape=(), dtype=float64)","tf.Tensor(38.94845107958421, shape=(), dtype=float64)","tf.Tensor([[-2.33683116e-02 -9.75881203e-07  3.47274768e-03  1.57269703e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.004480873208231509, shape=(), dtype=float64)","tf.Tensor(-1.1715604883774418, shape=(), dtype=float64)",0.029,"tf.Tensor(6.160909707084699e-17, shape=(), dtype=float64)","tf.Tensor(4.94499638318639e-17, shape=(), dtype=float64)","tf.Tensor(37.32572213453538, shape=(), dtype=float64)","tf.Tensor([[-5.98040079e-02 -1.76370459e-06 -4.89529663e-02  2.18202010e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.003309312719854067, shape=(), dtype=float64)","tf.Tensor(1.2705579190227263, shape=(), dtype=float64)",0.03,"tf.Tensor(1.8934246620002146e-16, shape=(), dtype=float64)","tf.Tensor(1.2773336912917447e-16, shape=(), dtype=float64)","tf.Tensor(36.2029743080312, shape=(), dtype=float64)","tf.Tensor([[-9.58795871e-02 -2.96951002e-06 -9.88914650e-02  2.84307571e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.004579870638876793, shape=(), dtype=float64)","tf.Tensor(-0.7772111875224679, shape=(), dtype=float64)",0.031,"tf.Tensor(4.356033567615904e-16, shape=(), dtype=float64)","tf.Tensor(2.4626089056156895e-16, shape=(), dtype=float64)","tf.Tensor(35.36979957679945, shape=(), dtype=float64)","tf.Tensor([[-1.31586598e-01 -4.48099985e-06 -1.50834726e-01  3.44148663e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0038026594513543253, shape=(), dtype=float64)","tf.Tensor(1.6764640903113894, shape=(), dtype=float64)",0.032,"tf.Tensor(8.409613215251937e-16, shape=(), dtype=float64)","tf.Tensor(4.0535796476360325e-16, shape=(), dtype=float64)","tf.Tensor(34.71198600602958, shape=(), dtype=float64)","tf.Tensor([[-1.66916662e-01 -6.41622158e-06 -2.00283391e-01  4.07314033e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.005479123541665715, shape=(), dtype=float64)","tf.Tensor(-0.35983924859259786, shape=(), dtype=float64)",0.033,"tf.Tensor(1.4540776370645805e-15, shape=(), dtype=float64)","tf.Tensor(6.131163155393869e-16, shape=(), dtype=float64)","tf.Tensor(34.16440462171963, shape=(), dtype=float64)","tf.Tensor([[-2.01861476e-01 -8.69990000e-06 -2.51729517e-01  4.62320713e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.005119284293073117, shape=(), dtype=float64)","tf.Tensor(1.4760766428615848, shape=(), dtype=float64)",0.034,"tf.Tensor(1.6019190818517602e-15, shape=(), dtype=float64)","tf.Tensor(1.4784144478717971e-16, shape=(), dtype=float64)","tf.Tensor(34.067574058244496, shape=(), dtype=float64)","tf.Tensor([[-7.96033227e-02 -1.24036304e-06 -7.04458948e-02  2.71407786e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.006595360935934702, shape=(), dtype=float64)","tf.Tensor(-0.5460062505345729, shape=(), dtype=float64)",0.035,"tf.Tensor(1.9938433176868936e-15, shape=(), dtype=float64)","tf.Tensor(3.919242358351334e-16, shape=(), dtype=float64)","tf.Tensor(33.84871230334558, shape=(), dtype=float64)","tf.Tensor([[4.23239650e-02 5.70330386e-06 1.07771948e-01 7.44479831e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.006049354685400129, shape=(), dtype=float64)","tf.Tensor(1.9332159088709178, shape=(), dtype=float64)",0.036000000000000004,"tf.Tensor(3.4278145827412924e-15, shape=(), dtype=float64)","tf.Tensor(1.4339712650543987e-15, shape=(), dtype=float64)","tf.Tensor(33.30685348468665, shape=(), dtype=float64)","tf.Tensor([[ 1.63917130e-01  1.19938753e-05  2.87406562e-01 -1.19066762e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.007982570594271047, shape=(), dtype=float64)","tf.Tensor(-0.07768164685014156, shape=(), dtype=float64)",0.037,"tf.Tensor(6.6807421744408185e-15, shape=(), dtype=float64)","tf.Tensor(3.252927591699526e-15, shape=(), dtype=float64)","tf.Tensor(32.63954730957551, shape=(), dtype=float64)","tf.Tensor([[ 2.85172961e-01  1.76851404e-05  4.63949262e-01 -3.20715147e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.007904888947420906, shape=(), dtype=float64)","tf.Tensor(0.5181020521827779, shape=(), dtype=float64)",0.038,"tf.Tensor(7.68776660836171e-15, shape=(), dtype=float64)","tf.Tensor(1.0070244339208923e-15, shape=(), dtype=float64)","tf.Tensor(32.499146081616914, shape=(), dtype=float64)","tf.Tensor([[-1.37389354e-01 -2.91132705e-06 -1.51288849e-01  3.82449056e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.008422990999603685, shape=(), dtype=float64)","tf.Tensor(-1.472951454383447, shape=(), dtype=float64)",0.039,"tf.Tensor(1.7916748505468134e-14, shape=(), dtype=float64)","tf.Tensor(1.0228981897106423e-14, shape=(), dtype=float64)","tf.Tensor(31.653040448834396, shape=(), dtype=float64)","tf.Tensor([[-5.57756549e-01 -2.41572806e-05 -7.65939325e-01  1.07993857e-03]], shape=(1, 4), dtype=float64)"
