x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.001,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.002,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.003,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.004,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.005,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.006,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.007,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.008,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.009000000000000001,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.01,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.011,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.012,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.013000000000000001,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.014,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.015,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.016,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.017,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.018000000000000002,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.019,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.02,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.021,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.022,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.023,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.024,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.025,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.026000000000000002,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.027,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.028,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.029,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.03,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.031,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.032,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.033,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.034,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.035,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.036000000000000004,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0007848990133911684, shape=(), dtype=float64)",0.037,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0. 0.]], shape=(1, 5), dtype=float64)"
"tf.Tensor(7.848990133911684e-07, shape=(), dtype=float64)","tf.Tensor(0.13593428768667445, shape=(), dtype=float64)",0.038,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor([[ 0.00269476  0.          0.          0.         -0.00269398]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.00013671918670006563, shape=(), dtype=float64)","tf.Tensor(0.4072874159596722, shape=(), dtype=float64)",0.039,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor(
[[ 8.21865690e-03 -7.38771938e-11  0.00000000e+00  0.00000000e+00
  -8.08193772e-03]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0005440066026597379, shape=(), dtype=float64)","tf.Tensor(0.816536470238892, shape=(), dtype=float64)",0.04,"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(inf, shape=(), dtype=float64)","tf.Tensor(
[[ 1.67076285e-02 -1.30161995e-08  0.00000000e+00  0.00000000e+00
  -1.61636219e-02]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.00136054307289863, shape=(), dtype=float64)","tf.Tensor(1.8127426269660623, shape=(), dtype=float64)",0.041,"tf.Tensor(-6.545365769507358e-62, shape=(), dtype=float64)","tf.Tensor(nan, shape=(), dtype=float64)","tf.Tensor(
[[ 2.82594133e-02 -7.71016908e-08 -2.24264706e-03 -3.81427071e-06
  -2.42067935e-02]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0031732856998646923, shape=(), dtype=float64)","tf.Tensor(2.945127059282461, shape=(), dtype=float64)",0.042,"tf.Tensor(2.3088833301950253e-45, shape=(), dtype=float64)","tf.Tensor(102.77956518391909, shape=(), dtype=float64)","tf.Tensor(
[[ 4.29983826e-02 -2.68945241e-07 -6.71746514e-03 -1.60785528e-05
  -3.22108719e-02]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.006118412759147153, shape=(), dtype=float64)","tf.Tensor(4.214251974695406, shape=(), dtype=float64)",0.043000000000000003,"tf.Tensor(5.84716896793188e-42, shape=(), dtype=float64)","tf.Tensor(94.94261629874717, shape=(), dtype=float64)","tf.Tensor(
[[ 6.10494695e-02 -7.58565131e-07 -1.34138161e-02 -4.20426999e-05
  -4.01752825e-02]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.01033266473384256, shape=(), dtype=float64)","tf.Tensor(5.620523801939665, shape=(), dtype=float64)",0.044,"tf.Tensor(1.608614897935102e-39, shape=(), dtype=float64)","tf.Tensor(89.32544512989358, shape=(), dtype=float64)","tf.Tensor(
[[ 8.25380158e-02 -1.82175704e-06 -2.23209013e-02 -8.75699999e-05
  -4.80994574e-02]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.015953188535782224, shape=(), dtype=float64)","tf.Tensor(7.164192729093536, shape=(), dtype=float64)",0.045,"tf.Tensor(1.3988529857553243e-37, shape=(), dtype=float64)","tf.Tensor(84.85999583585384, shape=(), dtype=float64)","tf.Tensor(
[[ 1.07589618e-01 -3.85245438e-06 -3.34277635e-02 -1.59135714e-04
  -5.59828348e-02]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.02311738126487576, shape=(), dtype=float64)","tf.Tensor(8.845352398130338, shape=(), dtype=float64)",0.046,"tf.Tensor(5.9619840419846745e-36, shape=(), dtype=float64)","tf.Tensor(81.1076600291545, shape=(), dtype=float64)","tf.Tensor(
[[ 1.36329971e-01 -7.37505919e-06 -4.67232885e-02 -2.63824834e-04
  -6.38248594e-02]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.0319627336630061, shape=(), dtype=float64)","tf.Tensor(10.663939756202039, shape=(), dtype=float64)",0.047,"tf.Tensor(1.5414436072088996e-34, shape=(), dtype=float64)","tf.Tensor(77.85517377718533, shape=(), dtype=float64)","tf.Tensor(
[[ 1.68884718e-01 -1.30567278e-05 -6.21962072e-02 -4.09329064e-04
  -7.16249825e-02]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.042626673419208144, shape=(), dtype=float64)","tf.Tensor(12.619735063796796, shape=(), dtype=float64)",0.048,"tf.Tensor(2.7370719058181667e-33, shape=(), dtype=float64)","tf.Tensor(74.97841936732603, shape=(), dtype=float64)","tf.Tensor(
[[ 2.05379290e-01 -2.17195959e-05 -7.98350969e-02 -6.03943023e-04
  -7.93826616e-02]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.05524640848300494, shape=(), dtype=float64)","tf.Tensor(14.712362059757222, shape=(), dtype=float64)",0.049,"tf.Tensor(3.6153438371032323e-32, shape=(), dtype=float64)","tf.Tensor(72.39753601072366, shape=(), dtype=float64)","tf.Tensor(
[[ 2.45938755e-01 -3.43529265e-05 -9.96283833e-02 -8.56559677e-04
  -8.70973609e-02]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.06995877054276216, shape=(), dtype=float64)","tf.Tensor(16.941288282991216, shape=(), dtype=float64)",0.05,"tf.Tensor(3.7526503682342603e-31, shape=(), dtype=float64)","tf.Tensor(70.0576755276113, shape=(), dtype=float64)","tf.Tensor(
[[ 2.90687661e-01 -5.21251668e-05 -1.21564342e-01 -1.17666501e-03
  -9.47685509e-02]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.08690005882575337, shape=(), dtype=float64)","tf.Tensor(19.305825550552346, shape=(), dtype=float64)",0.051000000000000004,"tf.Tensor(3.1844568531513626e-30, shape=(), dtype=float64)","tf.Tensor(67.91927104810213, shape=(), dtype=float64)","tf.Tensor(
[[ 3.39749882e-01 -7.63958968e-05 -1.45631102e-01 -1.57433192e-03
  -1.02395709e-01]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.10620588437630571, shape=(), dtype=float64)","tf.Tensor(21.805130591612247, shape=(), dtype=float64)",0.052000000000000005,"tf.Tensor(2.2761836565919845e-29, shape=(), dtype=float64)","tf.Tensor(65.95246749111574, shape=(), dtype=float64)","tf.Tensor(
[[ 3.93248467e-01 -1.08727655e-04 -1.71816645e-01 -2.06021340e-03
  -1.09978318e-01]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.12801101496791795, shape=(), dtype=float64)","tf.Tensor(24.438205836693577, shape=(), dtype=float64)",0.053,"tf.Tensor(1.403366420628872e-28, shape=(), dtype=float64)","tf.Tensor(64.13350866743977, shape=(), dtype=float64)","tf.Tensor(
[[ 4.51305480e-01 -1.50897629e-04 -2.00108807e-01 -2.64553487e-03
  -1.17515869e-01]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.1524492208046115, shape=(), dtype=float64)","tf.Tensor(27.203900361378516, shape=(), dtype=float64)",0.054,"tf.Tensor(7.617144152950602e-28, shape=(), dtype=float64)","tf.Tensor(62.4419810874608, shape=(), dtype=float64)","tf.Tensor(
[[ 5.14041855e-01 -2.04909184e-04 -2.30495283e-01 -3.34208595e-03
  -1.25007858e-01]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.17965312116599003, shape=(), dtype=float64)","tf.Tensor(30.10091098355529, shape=(), dtype=float64)",0.055,"tf.Tensor(3.711852508351366e-27, shape=(), dtype=float64)","tf.Tensor(60.858266430446236, shape=(), dtype=float64)","tf.Tensor(
[[ 5.81577241e-01 -2.73003240e-04 -2.62963628e-01 -4.16221127e-03
  -1.32453790e-01]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.20975403214954533, shape=(), dtype=float64)","tf.Tensor(33.12778351311344, shape=(), dtype=float64)",0.056,"tf.Tensor(1.6591821212125865e-26, shape=(), dtype=float64)","tf.Tensor(59.36088763495702, shape=(), dtype=float64)","tf.Tensor(
[[ 6.54029851e-01 -3.57669447e-04 -2.97501257e-01 -5.11880079e-03
  -1.39853173e-01]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.24288181566265876, shape=(), dtype=float64)","tf.Tensor(36.28291415284793, shape=(), dtype=float64)",0.057,"tf.Tensor(6.980358165073309e-26, shape=(), dtype=float64)","tf.Tensor(57.924112189339624, shape=(), dtype=float64)","tf.Tensor(
[[ 7.31516314e-01 -4.61657175e-04 -3.34095446e-01 -6.22527920e-03
  -1.47205525e-01]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.27916472981550666, shape=(), dtype=float64)","tf.Tensor(39.56455104918283, shape=(), dtype=float64)",0.058,"tf.Tensor(2.8490915820239105e-25, shape=(), dtype=float64)","tf.Tensor(56.51762712452948, shape=(), dtype=float64)","tf.Tensor(
[[ 8.14151525e-01 -5.87986291e-04 -3.72733340e-01 -7.49559481e-03
  -1.54510368e-01]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.3187292808646895, shape=(), dtype=float64)","tf.Tensor(42.970795991177255, shape=(), dtype=float64)",0.059000000000000004,"tf.Tensor(1.1625543713089912e-24, shape=(), dtype=float64)","tf.Tensor(55.111422603452965, shape=(), dtype=float64)","tf.Tensor(
[[ 9.02048505e-01 -7.39957710e-04 -4.13401945e-01 -8.94420758e-03
  -1.61767233e-01]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.36170007685586675, shape=(), dtype=float64)","tf.Tensor(46.49960625612967, shape=(), dtype=float64)",0.06,"tf.Tensor(4.834798767953524e-24, shape=(), dtype=float64)","tf.Tensor(53.686202723682804, shape=(), dtype=float64)","tf.Tensor(
[[ 9.95318247e-01 -9.21163699e-04 -4.56088141e-01 -1.05860766e-02
  -1.68975656e-01]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.4081996831119964, shape=(), dtype=float64)","tf.Tensor(50.148796599951964, shape=(), dtype=float64)",0.061,"tf.Tensor(2.0503298816124214e-23, shape=(), dtype=float64)","tf.Tensor(52.241456440798906, shape=(), dtype=float64)","tf.Tensor([[ 1.09406958 -0.0011355  -0.50077867 -0.01243665 -0.17613518]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.45834847971194836, shape=(), dtype=float64)","tf.Tensor(53.91604139034159, shape=(), dtype=float64)",0.062,"tf.Tensor(8.734277754078527e-23, shape=(), dtype=float64)","tf.Tensor(50.79220188283081, shape=(), dtype=float64)","tf.Tensor([[ 1.19840903 -0.00138717 -0.54746016 -0.01451184 -0.18324536]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.5122645211022899, shape=(), dtype=float64)","tf.Tensor(57.79887688063882, shape=(), dtype=float64)",0.063,"tf.Tensor(3.6652393048610144e-22, shape=(), dtype=float64)","tf.Tensor(49.357978418020515, shape=(), dtype=float64)","tf.Tensor([[ 1.30844068 -0.00168069 -0.5961191  -0.01682802 -0.19030574]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.5700633979829287, shape=(), dtype=float64)","tf.Tensor(61.79470362211752, shape=(), dtype=float64)",0.064,"tf.Tensor(1.4916331615028507e-21, shape=(), dtype=float64)","tf.Tensor(47.95441535163085, shape=(), dtype=float64)","tf.Tensor([[ 1.42426602 -0.00202093 -0.64674186 -0.01940201 -0.19731589]], shape=(1, 5), dtype=float64)"
"tf.Tensor(0.6318581016050462, shape=(), dtype=float64)","tf.Tensor(65.90078901232063, shape=(), dtype=float64)",0.065,"tf.Tensor(5.8322730305417366e-21, shape=(), dtype=float64)","tf.Tensor(46.59088014332792, shape=(), dtype=float64)","tf.Tensor([[ 1.54598384 -0.00241308 -0.69931468 -0.02225105 -0.20427539]], shape=(1, 5), dtype=float64)"
