x0,x1,time,det_fi
"tf.Tensor(0.10620589, shape=(), dtype=float32)","tf.Tensor(21.805132, shape=(), dtype=float32)",0.052000000000000005,2.276182613896191e-29
"tf.Tensor(0.12801102, shape=(), dtype=float32)","tf.Tensor(24.438208, shape=(), dtype=float32)",0.053,1.4033655767534844e-28
"tf.Tensor(0.15244922, shape=(), dtype=float32)","tf.Tensor(27.203903, shape=(), dtype=float32)",0.054,7.617138912125364e-28
"tf.Tensor(0.17965312, shape=(), dtype=float32)","tf.Tensor(30.100914, shape=(), dtype=float32)",0.055,3.711849243734607e-27
"tf.Tensor(0.20975403, shape=(), dtype=float32)","tf.Tensor(33.127785, shape=(), dtype=float32)",0.056,1.6591805969542146e-26
"tf.Tensor(0.24288182, shape=(), dtype=float32)","tf.Tensor(36.282917, shape=(), dtype=float32)",0.057,6.980355704627172e-26
"tf.Tensor(0.27916473, shape=(), dtype=float32)","tf.Tensor(39.564552, shape=(), dtype=float32)",0.058,2.8490950675276705e-25
"tf.Tensor(0.31872928, shape=(), dtype=float32)","tf.Tensor(42.9708, shape=(), dtype=float32)",0.059000000000000004,1.162559167272277e-24
"tf.Tensor(0.3617001, shape=(), dtype=float32)","tf.Tensor(46.499607, shape=(), dtype=float32)",0.06,4.8348312360200336e-24
"tf.Tensor(0.4081997, shape=(), dtype=float32)","tf.Tensor(50.148796, shape=(), dtype=float32)",0.061,2.0503461331018366e-23
"tf.Tensor(0.4583485, shape=(), dtype=float32)","tf.Tensor(53.916042, shape=(), dtype=float32)",0.062,8.734349981543856e-23
"tf.Tensor(0.51226455, shape=(), dtype=float32)","tf.Tensor(57.798878, shape=(), dtype=float32)",0.063,3.6652690441059137e-22
"tf.Tensor(0.5700634, shape=(), dtype=float32)","tf.Tensor(61.794704, shape=(), dtype=float32)",0.064,1.4916438923157318e-21
"tf.Tensor(0.6318581, shape=(), dtype=float32)","tf.Tensor(65.90079, shape=(), dtype=float32)",0.065,5.832306072650975e-21
"tf.Tensor(0.6977589, shape=(), dtype=float32)","tf.Tensor(70.114265, shape=(), dtype=float32)",0.066,2.1817174040781822e-20
"tf.Tensor(0.76787317, shape=(), dtype=float32)","tf.Tensor(74.43215, shape=(), dtype=float32)",0.067,7.800871238120006e-20
"tf.Tensor(0.8423053, shape=(), dtype=float32)","tf.Tensor(78.851326, shape=(), dtype=float32)",0.068,2.668579233032134e-19
"tf.Tensor(0.92115664, shape=(), dtype=float32)","tf.Tensor(83.36855, shape=(), dtype=float32)",0.069,8.750150685090103e-19
"tf.Tensor(1.0045252, shape=(), dtype=float32)","tf.Tensor(87.98048, shape=(), dtype=float32)",0.07,2.7562832390809966e-18
"tf.Tensor(1.0925057, shape=(), dtype=float32)","tf.Tensor(92.683624, shape=(), dtype=float32)",0.07100000000000001,8.36030305027716e-18
"tf.Tensor(1.1851894, shape=(), dtype=float32)","tf.Tensor(97.47442, shape=(), dtype=float32)",0.07200000000000001,2.4474012462544547e-17
"tf.Tensor(1.2826638, shape=(), dtype=float32)","tf.Tensor(102.34917, shape=(), dtype=float32)",0.073,6.929733577098248e-17
"tf.Tensor(1.385013, shape=(), dtype=float32)","tf.Tensor(107.30407, shape=(), dtype=float32)",0.074,1.901667831006772e-16
"tf.Tensor(1.4923171, shape=(), dtype=float32)","tf.Tensor(112.335236, shape=(), dtype=float32)",0.075,5.067230463233395e-16
"tf.Tensor(1.6046523, shape=(), dtype=float32)","tf.Tensor(117.43867, shape=(), dtype=float32)",0.076,1.3133189469337387e-15
"tf.Tensor(1.722091, shape=(), dtype=float32)","tf.Tensor(122.61028, shape=(), dtype=float32)",0.077,3.316024482004975e-15
"tf.Tensor(1.8447013, shape=(), dtype=float32)","tf.Tensor(127.84591, shape=(), dtype=float32)",0.078,8.16847679762193e-15
"tf.Tensor(1.9725472, shape=(), dtype=float32)","tf.Tensor(133.14128, shape=(), dtype=float32)",0.079,1.9656983217558342e-14
"tf.Tensor(2.1056886, shape=(), dtype=float32)","tf.Tensor(138.49207, shape=(), dtype=float32)",0.08,4.626743819052971e-14
"tf.Tensor(2.2441807, shape=(), dtype=float32)","tf.Tensor(143.89383, shape=(), dtype=float32)",0.081,1.0663637508441555e-13
"tf.Tensor(2.3880744, shape=(), dtype=float32)","tf.Tensor(149.3421, shape=(), dtype=float32)",0.082,2.40911488913506e-13
"tf.Tensor(2.5374165, shape=(), dtype=float32)","tf.Tensor(154.83232, shape=(), dtype=float32)",0.083,5.340093048048868e-13
"tf.Tensor(2.6922488, shape=(), dtype=float32)","tf.Tensor(160.35986, shape=(), dtype=float32)",0.084,1.1624272328245017e-12
"tf.Tensor(2.8526087, shape=(), dtype=float32)","tf.Tensor(165.92006, shape=(), dtype=float32)",0.085,2.4869507738811385e-12
"tf.Tensor(3.0185287, shape=(), dtype=float32)","tf.Tensor(171.50818, shape=(), dtype=float32)",0.08600000000000001,5.233435133230819e-12
"tf.Tensor(3.1900368, shape=(), dtype=float32)","tf.Tensor(177.11943, shape=(), dtype=float32)",0.08700000000000001,1.0840163275872929e-11
"tf.Tensor(3.3671563, shape=(), dtype=float32)","tf.Tensor(182.749, shape=(), dtype=float32)",0.088,2.2115897944809008e-11
"tf.Tensor(3.5499053, shape=(), dtype=float32)","tf.Tensor(188.39201, shape=(), dtype=float32)",0.089,4.446975477536611e-11
"tf.Tensor(3.7382972, shape=(), dtype=float32)","tf.Tensor(194.04358, shape=(), dtype=float32)",0.09,8.818013720507161e-11
"tf.Tensor(3.9323409, shape=(), dtype=float32)","tf.Tensor(199.69876, shape=(), dtype=float32)",0.091,1.7252875064527185e-10
"tf.Tensor(4.1320395, shape=(), dtype=float32)","tf.Tensor(205.35262, shape=(), dtype=float32)",0.092,3.332431358696678e-10
"tf.Tensor(4.3373923, shape=(), dtype=float32)","tf.Tensor(211.00017, shape=(), dtype=float32)",0.093,6.357422554681447e-10
"tf.Tensor(4.5483923, shape=(), dtype=float32)","tf.Tensor(216.63643, shape=(), dtype=float32)",0.094,1.1984501086470504e-09
"tf.Tensor(4.765029, shape=(), dtype=float32)","tf.Tensor(222.2564, shape=(), dtype=float32)",0.095,2.2333947552931516e-09
"tf.Tensor(4.987285, shape=(), dtype=float32)","tf.Tensor(227.85506, shape=(), dtype=float32)",0.096,4.1161853388522645e-09
"tf.Tensor(5.2151403, shape=(), dtype=float32)","tf.Tensor(233.42743, shape=(), dtype=float32)",0.097,7.505434925254919e-09
"tf.Tensor(5.448568, shape=(), dtype=float32)","tf.Tensor(238.9685, shape=(), dtype=float32)",0.098,1.3544626112918683e-08
"tf.Tensor(5.6875362, shape=(), dtype=float32)","tf.Tensor(244.47328, shape=(), dtype=float32)",0.099,2.4200191048366497e-08
"tf.Tensor(5.9320097, shape=(), dtype=float32)","tf.Tensor(249.9368, shape=(), dtype=float32)",0.1,4.2822684158755307e-08
"tf.Tensor(6.1819463, shape=(), dtype=float32)","tf.Tensor(255.3541, shape=(), dtype=float32)",0.101,7.507024445044247e-08
"tf.Tensor(6.4373, shape=(), dtype=float32)","tf.Tensor(260.72025, shape=(), dtype=float32)",0.10200000000000001,1.3041556984464447e-07
"tf.Tensor(6.6980205, shape=(), dtype=float32)","tf.Tensor(266.03036, shape=(), dtype=float32)",0.10300000000000001,2.2458529073359953e-07
"tf.Tensor(6.964051, shape=(), dtype=float32)","tf.Tensor(271.27957, shape=(), dtype=float32)",0.10400000000000001,3.834777194696772e-07
"tf.Tensor(7.2353306, shape=(), dtype=float32)","tf.Tensor(276.46304, shape=(), dtype=float32)",0.105,6.494073104819046e-07
"tf.Tensor(7.5117936, shape=(), dtype=float32)","tf.Tensor(281.576, shape=(), dtype=float32)",0.106,1.0909844068237067e-06
"tf.Tensor(7.79337, shape=(), dtype=float32)","tf.Tensor(286.61368, shape=(), dtype=float32)",0.107,1.8186350197758465e-06
"tf.Tensor(8.079984, shape=(), dtype=float32)","tf.Tensor(291.57144, shape=(), dtype=float32)",0.108,3.0088114789726884e-06
"tf.Tensor(8.371555, shape=(), dtype=float32)","tf.Tensor(296.44464, shape=(), dtype=float32)",0.109,4.941506394542558e-06
"tf.Tensor(8.668, shape=(), dtype=float32)","tf.Tensor(301.22873, shape=(), dtype=float32)",0.11,8.057999575454412e-06
"tf.Tensor(8.969229, shape=(), dtype=float32)","tf.Tensor(305.91922, shape=(), dtype=float32)",0.111,1.3049184364060393e-05
"tf.Tensor(9.275148, shape=(), dtype=float32)","tf.Tensor(310.5117, shape=(), dtype=float32)",0.112,2.098983117019678e-05
"tf.Tensor(9.58566, shape=(), dtype=float32)","tf.Tensor(315.0018, shape=(), dtype=float32)",0.113,3.354144881081305e-05
"tf.Tensor(9.900661, shape=(), dtype=float32)","tf.Tensor(319.3853, shape=(), dtype=float32)",0.114,5.325699236904976e-05
"tf.Tensor(10.220047, shape=(), dtype=float32)","tf.Tensor(323.65802, shape=(), dtype=float32)",0.115,8.403593802962993e-05
"tf.Tensor(10.543705, shape=(), dtype=float32)","tf.Tensor(327.81586, shape=(), dtype=float32)",0.116,0.0001318001424769865
"tf.Tensor(10.871521, shape=(), dtype=float32)","tf.Tensor(331.85483, shape=(), dtype=float32)",0.117,0.00020549214668865706
"tf.Tensor(11.203376, shape=(), dtype=float32)","tf.Tensor(335.77103, shape=(), dtype=float32)",0.11800000000000001,0.0003185419714970112
"tf.Tensor(11.539146, shape=(), dtype=float32)","tf.Tensor(339.56067, shape=(), dtype=float32)",0.11900000000000001,0.0004910111169334575
"tf.Tensor(11.878707, shape=(), dtype=float32)","tf.Tensor(343.22006, shape=(), dtype=float32)",0.12,0.0007527106407442189
