x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)",0.001,"tf.Tensor(1.000000000000002e-24, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(55.262042231857095, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0.]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(0.013408304498269897, shape=(), dtype=float64)",0.002,"tf.Tensor(1.000000000000002e-24, shape=(), dtype=float64)","tf.Tensor(0.0, shape=(), dtype=float64)","tf.Tensor(55.262042231857095, shape=(), dtype=float64)","tf.Tensor([[0. 0. 0. 0.]], shape=(1, 4), dtype=float64)"
"tf.Tensor(1.3408304498269897e-05, shape=(), dtype=float64)","tf.Tensor(-0.019916955429003656, shape=(), dtype=float64)",0.003,"tf.Tensor(1.00379662500062e-24, shape=(), dtype=float64)","tf.Tensor(3.796625000617993e-27, shape=(), dtype=float64)","tf.Tensor(55.258252795846985, shape=(), dtype=float64)","tf.Tensor([[ 1.34083045e-05  0.00000000e+00 -6.01401893e-05 -1.67963010e-09]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-6.508650930733761e-06, shape=(), dtype=float64)","tf.Tensor(0.10964380511534569, shape=(), dtype=float64)",0.004,"tf.Tensor(1.0608828026406066e-24, shape=(), dtype=float64)","tf.Tensor(5.708617763998666e-26, shape=(), dtype=float64)","tf.Tensor(55.202940837666006, shape=(), dtype=float64)","tf.Tensor([[-6.51196121e-06 -1.26203230e-09  2.38821843e-04  7.88105458e-09]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.00010313515418461193, shape=(), dtype=float64)","tf.Tensor(-0.32862000507000844, shape=(), dtype=float64)",0.005,"tf.Tensor(2.7503559454915004e-24, shape=(), dtype=float64)","tf.Tensor(1.689473142850894e-24, shape=(), dtype=float64)","tf.Tensor(54.250311893830386, shape=(), dtype=float64)","tf.Tensor([[ 1.03181748e-04  3.13910699e-09 -1.29554597e-03 -1.37774389e-07]], shape=(1, 4), dtype=float64)"
"tf.Tensor(-0.0002254848508853965, shape=(), dtype=float64)","tf.Tensor(1.2133780991572078, shape=(), dtype=float64)",0.006,"tf.Tensor(3.3525008893273517e-23, shape=(), dtype=float64)","tf.Tensor(3.0774652947782015e-23, shape=(), dtype=float64)","tf.Tensor(51.7497505374165, shape=(), dtype=float64)","tf.Tensor([[-2.26172813e-04 -2.19344725e-08  5.53553352e-03  1.37968476e-06]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0009878932482718112, shape=(), dtype=float64)","tf.Tensor(-0.9544871618596162, shape=(), dtype=float64)",0.007,"tf.Tensor(1.3596543035701962e-22, shape=(), dtype=float64)","tf.Tensor(1.024404214637461e-22, shape=(), dtype=float64)","tf.Tensor(50.349641566983756, shape=(), dtype=float64)","tf.Tensor([[-4.86947345e-04 -4.68909263e-08  1.00920561e-02 -2.77797375e-06]], shape=(1, 4), dtype=float64)"
"tf.Tensor(3.340608641219493e-05, shape=(), dtype=float64)","tf.Tensor(1.3863837218480946, shape=(), dtype=float64)",0.008,"tf.Tensor(4.240409781729763e-22, shape=(), dtype=float64)","tf.Tensor(2.8807554781595664e-22, shape=(), dtype=float64)","tf.Tensor(49.212212134660746, shape=(), dtype=float64)","tf.Tensor([[-6.66032610e-04 -1.64712394e-07  1.68694199e-02 -2.45766348e-06]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0014197898082602897, shape=(), dtype=float64)","tf.Tensor(-0.7554762322124424, shape=(), dtype=float64)",0.009000000000000001,"tf.Tensor(8.939187623428951e-22, shape=(), dtype=float64)","tf.Tensor(4.6987778416991885e-22, shape=(), dtype=float64)","tf.Tensor(48.46642733067503, shape=(), dtype=float64)","tf.Tensor([[-7.50377353e-04 -2.85123359e-07  2.13715277e-02 -8.61477493e-06]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0006643135760478473, shape=(), dtype=float64)","tf.Tensor(1.611240973182154, shape=(), dtype=float64)",0.01,"tf.Tensor(1.805634423117883e-21, shape=(), dtype=float64)","tf.Tensor(9.11715660774988e-22, shape=(), dtype=float64)","tf.Tensor(47.76337494189334, shape=(), dtype=float64)","tf.Tensor([[-7.26998973e-04 -5.38591483e-07  2.80936642e-02 -1.12138522e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0022755545492300013, shape=(), dtype=float64)","tf.Tensor(-0.5049121261464484, shape=(), dtype=float64)",0.011,"tf.Tensor(3.324375776342615e-21, shape=(), dtype=float64)","tf.Tensor(1.518741353224732e-21, shape=(), dtype=float64)","tf.Tensor(47.153005032830144, shape=(), dtype=float64)","tf.Tensor([[-5.82984432e-04 -8.53376059e-07  3.25397412e-02 -2.13265359e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0017706424230835528, shape=(), dtype=float64)","tf.Tensor(1.8873706857762902, shape=(), dtype=float64)",0.012,"tf.Tensor(6.710171830112811e-21, shape=(), dtype=float64)","tf.Tensor(3.385796053770196e-21, shape=(), dtype=float64)","tf.Tensor(46.45066239415475, shape=(), dtype=float64)","tf.Tensor([[-3.05491151e-04 -1.38082193e-06  3.92050520e-02 -2.90323388e-05]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.003658013108859843, shape=(), dtype=float64)","tf.Tensor(-0.203359815029017, shape=(), dtype=float64)",0.013000000000000001,"tf.Tensor(1.3857569645938038e-20, shape=(), dtype=float64)","tf.Tensor(7.147397815825227e-21, shape=(), dtype=float64)","tf.Tensor(45.72545532470977, shape=(), dtype=float64)","tf.Tensor([[ 1.18252103e-04 -2.07238214e-06  4.35935175e-02 -4.55165758e-05]], shape=(1, 4), dtype=float64)"
