x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(14.078708, shape=(), dtype=float32)",0.001,0.0,inf,[0. 0. 0. 0. 0.]
"tf.Tensor(0.014078708, shape=(), dtype=float32)","tf.Tensor(25.406792, shape=(), dtype=float32)",0.002,0.0,inf,"[ 1.40787188e-02  0.00000000e+00 -2.24264697e-03 -6.57655869e-05
  0.00000000e+00]"
"tf.Tensor(0.0394855, shape=(), dtype=float32)","tf.Tensor(36.238846, shape=(), dtype=float32)",0.003,0.0,inf,"[ 4.17281680e-02 -1.32513273e-06 -6.71746489e-03 -2.49906208e-04
  0.00000000e+00]"
"tf.Tensor(0.07572435, shape=(), dtype=float32)","tf.Tensor(46.576996, shape=(), dtype=float32)",0.004,0.0,inf,"[ 8.24418417e-02 -6.36057591e-06 -1.34138156e-02 -6.02462280e-04
  0.00000000e+00]"
"tf.Tensor(0.12230135, shape=(), dtype=float32)","tf.Tensor(56.423836, shape=(), dtype=float32)",0.005,0.0,inf,"[ 1.35715197e-01 -1.84997885e-05 -2.23209004e-02 -1.17092213e-03
  0.00000000e+00]"
"tf.Tensor(0.17872518, shape=(), dtype=float32)","tf.Tensor(65.782425, shape=(), dtype=float32)",0.006,0.0,inf,"[ 2.01046125e-01 -4.20930885e-05 -3.34277622e-02 -2.00024137e-03
  0.00000000e+00]"
"tf.Tensor(0.24450761, shape=(), dtype=float32)","tf.Tensor(74.656296, shape=(), dtype=float32)",0.007,0.0,inf,"[ 2.77935422e-01 -8.23966179e-05 -4.67232867e-02 -3.13286457e-03
  0.00000000e+00]"
"tf.Tensor(0.31916392, shape=(), dtype=float32)","tf.Tensor(83.04944, shape=(), dtype=float32)",0.008,0.0,inf,"[ 3.65887255e-01 -1.45521750e-04 -6.21962048e-02 -4.60874918e-03
  0.00000000e+00]"
"tf.Tensor(0.40221336, shape=(), dtype=float32)","tf.Tensor(90.966286, shape=(), dtype=float32)",0.009000000000000001,0.0,inf,"[ 4.64409622e-01 -2.38384976e-04 -7.98350938e-02 -6.46539184e-03
  0.00000000e+00]"
"tf.Tensor(0.49317965, shape=(), dtype=float32)","tf.Tensor(98.411736, shape=(), dtype=float32)",0.01,0.0,inf,"[ 5.73014809e-01 -3.68658316e-04 -9.96283795e-02 -8.73785686e-03
  0.00000000e+00]"
"tf.Tensor(0.59159136, shape=(), dtype=float32)","tf.Tensor(105.39111, shape=(), dtype=float32)",0.011,0.0,inf,"[ 6.91219840e-01 -5.44720314e-04 -1.21564338e-01 -1.14588068e-02
  0.00000000e+00]"
"tf.Tensor(0.6969825, shape=(), dtype=float32)","tf.Tensor(111.910194, shape=(), dtype=float32)",0.012,0.0,inf,"[ 8.18546924e-01 -7.75607639e-04 -1.45631097e-01 -1.46585355e-02
  0.00000000e+00]"
"tf.Tensor(0.8088927, shape=(), dtype=float32)","tf.Tensor(117.97518, shape=(), dtype=float32)",0.013000000000000001,0.0,inf,[ 0.95452389 -0.00107097 -0.17181664 -0.018365    0.        ]
"tf.Tensor(0.9268679, shape=(), dtype=float32)","tf.Tensor(123.59269, shape=(), dtype=float32)",0.014,0.0,inf,[ 1.09868462 -0.00144101 -0.2001088  -0.02260387  0.        ]
"tf.Tensor(1.0504606, shape=(), dtype=float32)","tf.Tensor(128.76976, shape=(), dtype=float32)",0.015,0.0,inf,[ 1.25056948 -0.00189646 -0.23049527 -0.02739855  0.        ]
"tf.Tensor(1.1792303, shape=(), dtype=float32)","tf.Tensor(133.51384, shape=(), dtype=float32)",0.016,0.0,inf,[ 1.40972573 -0.00244853 -0.26296362 -0.03277022  0.        ]
"tf.Tensor(1.3127441, shape=(), dtype=float32)","tf.Tensor(137.83276, shape=(), dtype=float32)",0.017,0.0,inf,[ 1.57570792 -0.00310882 -0.29750125 -0.0387379   0.        ]
"tf.Tensor(1.4505769, shape=(), dtype=float32)","tf.Tensor(141.73477, shape=(), dtype=float32)",0.018000000000000002,0.0,inf,[ 1.74807831 -0.00388937 -0.33409543 -0.04531847  0.        ]
"tf.Tensor(1.5923116, shape=(), dtype=float32)","tf.Tensor(145.22847, shape=(), dtype=float32)",0.019,0.0,inf,[ 1.92640727 -0.0048025  -0.37273332 -0.05252674  0.        ]
"tf.Tensor(1.7375401, shape=(), dtype=float32)","tf.Tensor(148.32285, shape=(), dtype=float32)",0.02,0.0,inf,[ 2.11027364 -0.00586088 -0.41340193 -0.06037548  0.        ]
"tf.Tensor(1.885863, shape=(), dtype=float32)","tf.Tensor(151.02725, shape=(), dtype=float32)",0.021,0.0,inf,[ 2.2992651  -0.00707741 -0.45608812 -0.06887546  0.        ]
"tf.Tensor(2.0368903, shape=(), dtype=float32)","tf.Tensor(153.35138, shape=(), dtype=float32)",0.022,0.0,inf,[ 2.49297856 -0.0084652  -0.50077865 -0.07803555  0.        ]
"tf.Tensor(2.1902416, shape=(), dtype=float32)","tf.Tensor(155.30527, shape=(), dtype=float32)",0.023,0.0,inf,[ 2.69102048 -0.01003757 -0.54746014 -0.08786271  0.        ]
"tf.Tensor(2.345547, shape=(), dtype=float32)","tf.Tensor(156.89929, shape=(), dtype=float32)",0.024,0.0,inf,[ 2.89300726 -0.01180794 -0.59611908 -0.0983621   0.        ]
"tf.Tensor(2.5024462, shape=(), dtype=float32)","tf.Tensor(158.14412, shape=(), dtype=float32)",0.025,0.0,inf,[ 3.09856551 -0.01378987 -0.64674183 -0.10953709  0.        ]
"tf.Tensor(2.6605904, shape=(), dtype=float32)","tf.Tensor(159.05077, shape=(), dtype=float32)",0.026000000000000002,0.0,inf,[ 3.30733241 -0.01599697 -0.69931465 -0.12138936  0.        ]
"tf.Tensor(2.819641, shape=(), dtype=float32)","tf.Tensor(159.6305, shape=(), dtype=float32)",0.027,0.0,inf,[ 3.51895602 -0.01844289 -0.75382367 -0.13391893  0.        ]
