x0,x1,time,det_fi,log_det
"tf.Tensor(0.02538113, shape=(), dtype=float32)","tf.Tensor(2.1325104, shape=(), dtype=float32)",0.041,6.567597927454114e-35,78.70833010140718
"tf.Tensor(0.02751364, shape=(), dtype=float32)","tf.Tensor(1.8485336, shape=(), dtype=float32)",0.042,1.1788158149422707e-34,78.12338277386917
"tf.Tensor(0.029362174, shape=(), dtype=float32)","tf.Tensor(1.6126115, shape=(), dtype=float32)",0.043000000000000003,2.3037856424583776e-34,77.45333946041957
"tf.Tensor(0.030974785, shape=(), dtype=float32)","tf.Tensor(1.4245468, shape=(), dtype=float32)",0.044,4.803949059845719e-34,76.71845486133176
"tf.Tensor(0.03239933, shape=(), dtype=float32)","tf.Tensor(1.2841376, shape=(), dtype=float32)",0.045,1.0166487085010258e-33,75.96879643077779
"tf.Tensor(0.033683468, shape=(), dtype=float32)","tf.Tensor(1.1911794, shape=(), dtype=float32)",0.046,2.0950452982945338e-33,75.24573289356553
"tf.Tensor(0.034874648, shape=(), dtype=float32)","tf.Tensor(1.1454636, shape=(), dtype=float32)",0.047,4.121396820189464e-33,74.56911592887455
"tf.Tensor(0.03602011, shape=(), dtype=float32)","tf.Tensor(1.1467786, shape=(), dtype=float32)",0.048,7.703877938763963e-33,73.94358423831119
"tf.Tensor(0.03716689, shape=(), dtype=float32)","tf.Tensor(1.1949085, shape=(), dtype=float32)",0.049,1.3716966485329538e-32,73.36667457260471
"tf.Tensor(0.0383618, shape=(), dtype=float32)","tf.Tensor(1.2896348, shape=(), dtype=float32)",0.05,2.3373432817140522e-32,72.83370804113241
"tf.Tensor(0.039651435, shape=(), dtype=float32)","tf.Tensor(1.4307351, shape=(), dtype=float32)",0.051000000000000004,3.830697266371561e-32,72.33967613530379
"tf.Tensor(0.04108217, shape=(), dtype=float32)","tf.Tensor(1.6179839, shape=(), dtype=float32)",0.052000000000000005,6.075135372606011e-32,71.87851870327458
"tf.Tensor(0.042700153, shape=(), dtype=float32)","tf.Tensor(1.8511527, shape=(), dtype=float32)",0.053,9.424198770642382e-32,71.43944225716146
"tf.Tensor(0.044551305, shape=(), dtype=float32)","tf.Tensor(2.130009, shape=(), dtype=float32)",0.054,1.46254489259112e-31,70.99995988737385
"tf.Tensor(0.046681315, shape=(), dtype=float32)","tf.Tensor(2.4543173, shape=(), dtype=float32)",0.055,2.3657239364610044e-31,70.51905380350001
"tf.Tensor(0.049135633, shape=(), dtype=float32)","tf.Tensor(2.8238392, shape=(), dtype=float32)",0.056,4.202087242435985e-31,69.9445565184863
"tf.Tensor(0.051959474, shape=(), dtype=float32)","tf.Tensor(3.2383332, shape=(), dtype=float32)",0.057,8.434456149937904e-31,69.2478126443036
"tf.Tensor(0.055197805, shape=(), dtype=float32)","tf.Tensor(3.697554, shape=(), dtype=float32)",0.058,1.8693731664974432e-30,68.45194962023024
"tf.Tensor(0.05889536, shape=(), dtype=float32)","tf.Tensor(4.2012544, shape=(), dtype=float32)",0.059000000000000004,4.341279133993263e-30,67.60938375379895
"tf.Tensor(0.06309661, shape=(), dtype=float32)","tf.Tensor(4.7491827, shape=(), dtype=float32)",0.06,1.011090397020823e-29,66.76393834731351
"tf.Tensor(0.0678458, shape=(), dtype=float32)","tf.Tensor(5.341085, shape=(), dtype=float32)",0.061,2.307258001086779e-29,65.93890788986752
"tf.Tensor(0.07318688, shape=(), dtype=float32)","tf.Tensor(5.9767046, shape=(), dtype=float32)",0.062,5.118154529340395e-29,65.14217376623948
"tf.Tensor(0.07916359, shape=(), dtype=float32)","tf.Tensor(6.6557813, shape=(), dtype=float32)",0.063,1.1045487560870842e-28,64.37294571779952
"tf.Tensor(0.08581937, shape=(), dtype=float32)","tf.Tensor(7.378052, shape=(), dtype=float32)",0.064,2.3312073044714632e-28,63.625996314026835
"tf.Tensor(0.09319742, shape=(), dtype=float32)","tf.Tensor(8.143251, shape=(), dtype=float32)",0.065,4.846989974461498e-28,62.89402471537294
"tf.Tensor(0.101340674, shape=(), dtype=float32)","tf.Tensor(8.951111, shape=(), dtype=float32)",0.066,1.0005769646950761e-27,62.16922071252429
"tf.Tensor(0.11029179, shape=(), dtype=float32)","tf.Tensor(9.801359, shape=(), dtype=float32)",0.067,2.0651363768497655e-27,61.44460124454892
"tf.Tensor(0.120093144, shape=(), dtype=float32)","tf.Tensor(10.693723, shape=(), dtype=float32)",0.068,4.282864458795472e-27,60.71517545903048
"tf.Tensor(0.13078687, shape=(), dtype=float32)","tf.Tensor(11.627924, shape=(), dtype=float32)",0.069,8.945329131921184e-27,59.97866599948323
"tf.Tensor(0.1424148, shape=(), dtype=float32)","tf.Tensor(12.603684, shape=(), dtype=float32)",0.07,1.8807998825402897e-26,59.23551526205346
"tf.Tensor(0.15501848, shape=(), dtype=float32)","tf.Tensor(13.620721, shape=(), dtype=float32)",0.07100000000000001,3.970947314137225e-26,58.48820773344029
"tf.Tensor(0.1686392, shape=(), dtype=float32)","tf.Tensor(14.67875, shape=(), dtype=float32)",0.07200000000000001,8.389268696830656e-26,57.74025906483243
"tf.Tensor(0.18331794, shape=(), dtype=float32)","tf.Tensor(15.777483, shape=(), dtype=float32)",0.073,1.7671003189977314e-25,56.99528735949881
"tf.Tensor(0.19909543, shape=(), dtype=float32)","tf.Tensor(16.916632, shape=(), dtype=float32)",0.074,3.6995854530465588e-25,56.25640655119503
"tf.Tensor(0.21601206, shape=(), dtype=float32)","tf.Tensor(18.095903, shape=(), dtype=float32)",0.075,7.680334953598362e-25,55.52596416489283
"tf.Tensor(0.23410797, shape=(), dtype=float32)","tf.Tensor(19.315002, shape=(), dtype=float32)",0.076,1.5785670002466384e-24,54.805524758226206
"tf.Tensor(0.25342298, shape=(), dtype=float32)","tf.Tensor(20.573633, shape=(), dtype=float32)",0.077,3.2093232106547344e-24,54.09598215474685
"tf.Tensor(0.27399662, shape=(), dtype=float32)","tf.Tensor(21.871494, shape=(), dtype=float32)",0.078,6.4515951542157936e-24,53.39771482089454
"tf.Tensor(0.29586813, shape=(), dtype=float32)","tf.Tensor(23.208286, shape=(), dtype=float32)",0.079,1.2823828700754433e-23,52.71073717434692
"tf.Tensor(0.31907642, shape=(), dtype=float32)","tf.Tensor(24.583704, shape=(), dtype=float32)",0.08,2.520936187838558e-23,52.034826803219374
"tf.Tensor(0.34366012, shape=(), dtype=float32)","tf.Tensor(25.997442, shape=(), dtype=float32)",0.081,4.902935451556897e-23,51.36962304137201
"tf.Tensor(0.36965755, shape=(), dtype=float32)","tf.Tensor(27.44919, shape=(), dtype=float32)",0.082,9.438131457682305e-23,50.71469911710295
"tf.Tensor(0.39710674, shape=(), dtype=float32)","tf.Tensor(28.938639, shape=(), dtype=float32)",0.083,1.7990516048124603e-22,50.0696124060355
"tf.Tensor(0.4260454, shape=(), dtype=float32)","tf.Tensor(30.465475, shape=(), dtype=float32)",0.084,3.397142142304082e-22,49.43393751408523
"tf.Tensor(0.45651087, shape=(), dtype=float32)","tf.Tensor(32.029385, shape=(), dtype=float32)",0.085,6.357185248955332e-22,48.80728633739936
"tf.Tensor(0.48854026, shape=(), dtype=float32)","tf.Tensor(33.63005, shape=(), dtype=float32)",0.08600000000000001,1.1793559764483478e-21,48.189318446061854
"tf.Tensor(0.5221703, shape=(), dtype=float32)","tf.Tensor(35.267155, shape=(), dtype=float32)",0.08700000000000001,2.1695991698037873e-21,47.57974451676053
"tf.Tensor(0.5574375, shape=(), dtype=float32)","tf.Tensor(36.940372, shape=(), dtype=float32)",0.088,3.958883561564013e-21,46.97832489625597
"tf.Tensor(0.5943779, shape=(), dtype=float32)","tf.Tensor(38.649387, shape=(), dtype=float32)",0.089,7.16653249509758e-21,46.384865028198995
"tf.Tensor(0.63302726, shape=(), dtype=float32)","tf.Tensor(40.393867, shape=(), dtype=float32)",0.09,1.2872301932703124e-20,45.799209086910636
"tf.Tensor(0.67342114, shape=(), dtype=float32)","tf.Tensor(42.173492, shape=(), dtype=float32)",0.091,2.2943946877090683e-20,45.22123280378946
"tf.Tensor(0.71559465, shape=(), dtype=float32)","tf.Tensor(43.98793, shape=(), dtype=float32)",0.092,4.0587117358263084e-20,44.65083624306634
"tf.Tensor(0.7595826, shape=(), dtype=float32)","tf.Tensor(45.836853, shape=(), dtype=float32)",0.093,7.126105292709683e-20,44.08793701695607
"tf.Tensor(0.80541945, shape=(), dtype=float32)","tf.Tensor(47.71993, shape=(), dtype=float32)",0.094,1.241912397452846e-19,43.532464319315
"tf.Tensor(0.8531394, shape=(), dtype=float32)","tf.Tensor(49.63682, shape=(), dtype=float32)",0.095,2.1484849204332234e-19,42.98435386132731
"tf.Tensor(0.90277624, shape=(), dtype=float32)","tf.Tensor(51.587196, shape=(), dtype=float32)",0.096,3.689802641302764e-19,42.44354379500659
"tf.Tensor(0.95436347, shape=(), dtype=float32)","tf.Tensor(53.570717, shape=(), dtype=float32)",0.097,6.291157877356568e-19,41.90997163086493
"tf.Tensor(1.0079342, shape=(), dtype=float32)","tf.Tensor(55.587048, shape=(), dtype=float32)",0.098,1.0649839115004493e-18,41.38357198141789
"tf.Tensor(1.0635213, shape=(), dtype=float32)","tf.Tensor(57.635845, shape=(), dtype=float32)",0.099,1.790073411540446e-18,40.86427504284736
"tf.Tensor(1.1211572, shape=(), dtype=float32)","tf.Tensor(59.71677, shape=(), dtype=float32)",0.1,2.9877660150567362e-18,40.35200571790244
"tf.Tensor(1.180874, shape=(), dtype=float32)","tf.Tensor(61.82948, shape=(), dtype=float32)",0.101,4.952281843979846e-18,39.84668322494842
"tf.Tensor(1.2427034, shape=(), dtype=float32)","tf.Tensor(63.973625, shape=(), dtype=float32)",0.10200000000000001,8.152385507401967e-18,39.348221089173705
"tf.Tensor(1.3066771, shape=(), dtype=float32)","tf.Tensor(66.148865, shape=(), dtype=float32)",0.10300000000000001,1.3329828649610374e-17,38.85652739427767
"tf.Tensor(1.372826, shape=(), dtype=float32)","tf.Tensor(68.35485, shape=(), dtype=float32)",0.10400000000000001,2.1650455600027852e-17,38.37150517578455
"tf.Tensor(1.4411808, shape=(), dtype=float32)","tf.Tensor(70.59123, shape=(), dtype=float32)",0.105,3.493463120798661e-17,37.89305303846376
"tf.Tensor(1.511772, shape=(), dtype=float32)","tf.Tensor(72.857666, shape=(), dtype=float32)",0.106,5.600639645772738e-17,37.421065767221144
"tf.Tensor(1.5846297, shape=(), dtype=float32)","tf.Tensor(75.1538, shape=(), dtype=float32)",0.107,8.921923876955009e-17,36.95543497628974
"tf.Tensor(1.6597835, shape=(), dtype=float32)","tf.Tensor(77.47928, shape=(), dtype=float32)",0.108,1.4124301057536596e-16,36.496049787742855
"tf.Tensor(1.7372627, shape=(), dtype=float32)","tf.Tensor(79.83375, shape=(), dtype=float32)",0.109,2.2223474081282857e-16,36.04279745961591
"tf.Tensor(1.8170965, shape=(), dtype=float32)","tf.Tensor(82.21686, shape=(), dtype=float32)",0.11,3.475705672635057e-16,35.595563958242266
"tf.Tensor(1.8993133, shape=(), dtype=float32)","tf.Tensor(84.62825, shape=(), dtype=float32)",0.111,5.403932868189672e-16,35.15423449049873
"tf.Tensor(1.9839416, shape=(), dtype=float32)","tf.Tensor(87.067566, shape=(), dtype=float32)",0.112,8.35339031966373e-16,34.71869400514131
"tf.Tensor(2.0710092, shape=(), dtype=float32)","tf.Tensor(89.534454, shape=(), dtype=float32)",0.113,1.283959639118799e-15,34.288827623845066
"tf.Tensor(2.1605437, shape=(), dtype=float32)","tf.Tensor(92.02855, shape=(), dtype=float32)",0.114,1.962571042531104e-15,33.864521024875614
"tf.Tensor(2.2525723, shape=(), dtype=float32)","tf.Tensor(94.5495, shape=(), dtype=float32)",0.115,2.9835552355569638e-15,33.445660773424514
"tf.Tensor(2.3471217, shape=(), dtype=float32)","tf.Tensor(97.09694, shape=(), dtype=float32)",0.116,4.5115545352687236e-15,33.03213461447442
"tf.Tensor(2.4442186, shape=(), dtype=float32)","tf.Tensor(99.67051, shape=(), dtype=float32)",0.117,6.786563408424514e-15,32.62383170688091
"tf.Tensor(2.543889, shape=(), dtype=float32)","tf.Tensor(102.269844, shape=(), dtype=float32)",0.11800000000000001,1.0156699846063294e-14,32.2206428238261
"tf.Tensor(2.646159, shape=(), dtype=float32)","tf.Tensor(104.894585, shape=(), dtype=float32)",0.11900000000000001,1.5124498734342883e-14,31.822460533074022
"tf.Tensor(2.7510536, shape=(), dtype=float32)","tf.Tensor(107.544365, shape=(), dtype=float32)",0.12,2.2412012479849716e-14,31.42917930836996
"tf.Tensor(2.858598, shape=(), dtype=float32)","tf.Tensor(110.21883, shape=(), dtype=float32)",0.121,3.305195592542078e-14,31.040695649564686
"tf.Tensor(2.9688168, shape=(), dtype=float32)","tf.Tensor(112.9176, shape=(), dtype=float32)",0.122,4.851476761212837e-14,30.656908156465953
"tf.Tensor(3.0817344, shape=(), dtype=float32)","tf.Tensor(115.64033, shape=(), dtype=float32)",0.123,7.088499649170915e-14,30.277717598833803
"tf.Tensor(3.1973748, shape=(), dtype=float32)","tf.Tensor(118.386635, shape=(), dtype=float32)",0.124,1.0310516052230861e-13,29.903026951577765
"tf.Tensor(3.3157616, shape=(), dtype=float32)","tf.Tensor(121.15616, shape=(), dtype=float32)",0.125,1.493115370717953e-13,29.5327414189251
"tf.Tensor(3.4369178, shape=(), dtype=float32)","tf.Tensor(123.94853, shape=(), dtype=float32)",0.126,2.1529473530341304e-13,29.16676844367997
"tf.Tensor(3.5608664, shape=(), dtype=float32)","tf.Tensor(126.76338, shape=(), dtype=float32)",0.127,3.091290044846447e-13,28.805017714896174
"tf.Tensor(3.6876297, shape=(), dtype=float32)","tf.Tensor(129.60034, shape=(), dtype=float32)",0.128,4.420288889636981e-13,28.44740115532246
"tf.Tensor(3.81723, shape=(), dtype=float32)","tf.Tensor(132.45906, shape=(), dtype=float32)",0.129,6.295111042207455e-13,28.093832901834848
"tf.Tensor(3.9496891, shape=(), dtype=float32)","tf.Tensor(135.33914, shape=(), dtype=float32)",0.13,8.929647548898331e-13,27.74422928302155
"tf.Tensor(4.085028, shape=(), dtype=float32)","tf.Tensor(138.24023, shape=(), dtype=float32)",0.131,1.2617660207770401e-12,27.398508772503604
"tf.Tensor(4.2232685, shape=(), dtype=float32)","tf.Tensor(141.16197, shape=(), dtype=float32)",0.132,1.7761163259184478e-12,27.05659197467557
"tf.Tensor(4.3644304, shape=(), dtype=float32)","tf.Tensor(144.10397, shape=(), dtype=float32)",0.133,2.490838856906088e-12,26.718401571863005
"tf.Tensor(4.5085344, shape=(), dtype=float32)","tf.Tensor(147.06587, shape=(), dtype=float32)",0.134,3.4804403694648622e-12,26.383862287198376
"tf.Tensor(4.6556005, shape=(), dtype=float32)","tf.Tensor(150.0473, shape=(), dtype=float32)",0.135,4.845838424216169e-12,26.052900836183312
"tf.Tensor(4.805648, shape=(), dtype=float32)","tf.Tensor(153.0479, shape=(), dtype=float32)",0.136,6.7232740024000025e-12,25.725445877300114
"tf.Tensor(4.958696, shape=(), dtype=float32)","tf.Tensor(156.06728, shape=(), dtype=float32)",0.137,9.296083132440274e-12,25.401427973040533
"tf.Tensor(5.1147633, shape=(), dtype=float32)","tf.Tensor(159.10507, shape=(), dtype=float32)",0.138,1.2810198036711332e-11,25.080779540599096
"tf.Tensor(5.2738686, shape=(), dtype=float32)","tf.Tensor(162.16092, shape=(), dtype=float32)",0.139,1.759449936870805e-11,24.763434798602816
"tf.Tensor(5.4360294, shape=(), dtype=float32)","tf.Tensor(165.23445, shape=(), dtype=float32)",0.14,2.4087460625662902e-11,24.44932971682716
"tf.Tensor(5.601264, shape=(), dtype=float32)","tf.Tensor(168.32529, shape=(), dtype=float32)",0.14100000000000001,3.287193127635223e-11,24.13840197499357
"tf.Tensor(5.7695894, shape=(), dtype=float32)","tf.Tensor(171.43306, shape=(), dtype=float32)",0.14200000000000002,4.4720419027391153e-11,23.83059091710344
"tf.Tensor(5.9410224, shape=(), dtype=float32)","tf.Tensor(174.5574, shape=(), dtype=float32)",0.14300000000000002,6.065388071407926e-11,23.52583749719257
"tf.Tensor(6.1155796, shape=(), dtype=float32)","tf.Tensor(177.69795, shape=(), dtype=float32)",0.14400000000000002,8.201784767737739e-11,23.22408423774546
"tf.Tensor(6.2932777, shape=(), dtype=float32)","tf.Tensor(180.85432, shape=(), dtype=float32)",0.145,1.1058074051145847e-10,22.925275178428247
"tf.Tensor(6.474132, shape=(), dtype=float32)","tf.Tensor(184.02615, shape=(), dtype=float32)",0.146,1.4866051516211727e-10,22.629355831265972
"tf.Tensor(6.6581583, shape=(), dtype=float32)","tf.Tensor(187.21307, shape=(), dtype=float32)",0.147,1.9928739544423975e-10,22.33627313484306
"tf.Tensor(6.8453712, shape=(), dtype=float32)","tf.Tensor(190.41472, shape=(), dtype=float32)",0.148,2.664124577588224e-10,22.045975414996743
"tf.Tensor(7.035786, shape=(), dtype=float32)","tf.Tensor(193.6307, shape=(), dtype=float32)",0.149,3.5517434281647334e-10,21.758412340481197
"tf.Tensor(7.229417, shape=(), dtype=float32)","tf.Tensor(196.86069, shape=(), dtype=float32)",0.15,4.722394833259901e-10,21.47353487908872
"tf.Tensor(7.4262776, shape=(), dtype=float32)","tf.Tensor(200.10428, shape=(), dtype=float32)",0.151,6.262350948899284e-10,21.191295264387676
"tf.Tensor(7.626382, shape=(), dtype=float32)","tf.Tensor(203.36111, shape=(), dtype=float32)",0.152,8.282989707154308e-10,20.911646950972173
"tf.Tensor(7.829743, shape=(), dtype=float32)","tf.Tensor(206.63084, shape=(), dtype=float32)",0.153,1.0927760087667157e-09,20.634544581263413
"tf.Tensor(8.036374, shape=(), dtype=float32)","tf.Tensor(209.91309, shape=(), dtype=float32)",0.154,1.4380986885839774e-09,20.359943950945414
"tf.Tensor(8.246287, shape=(), dtype=float32)","tf.Tensor(213.20747, shape=(), dtype=float32)",0.155,1.887897673719249e-09,20.087801968933803
"tf.Tensor(8.459495, shape=(), dtype=float32)","tf.Tensor(216.51364, shape=(), dtype=float32)",0.156,2.4723996927950333e-09,19.818076622397186
"tf.Tensor(8.676008, shape=(), dtype=float32)","tf.Tensor(219.83122, shape=(), dtype=float32)",0.157,3.230183309872705e-09,19.550726949039625
"tf.Tensor(8.89584, shape=(), dtype=float32)","tf.Tensor(223.15987, shape=(), dtype=float32)",0.158,4.210379723239822e-09,19.285712997775594
"tf.Tensor(9.1189995, shape=(), dtype=float32)","tf.Tensor(226.49919, shape=(), dtype=float32)",0.159,5.475425744165495e-09,19.0229958027757
"tf.Tensor(9.345499, shape=(), dtype=float32)","tf.Tensor(229.84885, shape=(), dtype=float32)",0.16,7.104500693780759e-09,18.762537353196716
"tf.Tensor(9.575348, shape=(), dtype=float32)","tf.Tensor(233.20847, shape=(), dtype=float32)",0.161,9.197808759003927e-09,18.504300559629527
"tf.Tensor(9.808557, shape=(), dtype=float32)","tf.Tensor(236.57768, shape=(), dtype=float32)",0.162,1.1881904415363357e-08,18.248249231535763
"tf.Tensor(10.045135, shape=(), dtype=float32)","tf.Tensor(239.95615, shape=(), dtype=float32)",0.163,1.5316302583237982e-08,17.994348047504182
"tf.Tensor(10.28509, shape=(), dtype=float32)","tf.Tensor(243.34349, shape=(), dtype=float32)",0.164,1.9701668130902874e-08,17.74256252809176
"tf.Tensor(10.528434, shape=(), dtype=float32)","tf.Tensor(246.73935, shape=(), dtype=float32)",0.165,2.528994344176884e-08,17.492859012654193
"tf.Tensor(10.775173, shape=(), dtype=float32)","tf.Tensor(250.14337, shape=(), dtype=float32)",0.166,3.23968502089072e-08,17.245204634648356
"tf.Tensor(11.025316, shape=(), dtype=float32)","tf.Tensor(253.55519, shape=(), dtype=float32)",0.167,4.1417294778690995e-08,16.9995672950701
"tf.Tensor(11.278872, shape=(), dtype=float32)","tf.Tensor(256.97446, shape=(), dtype=float32)",0.168,5.284431788896691e-08,16.755915644337033
"tf.Tensor(11.535846, shape=(), dtype=float32)","tf.Tensor(260.40082, shape=(), dtype=float32)",0.169,6.729236485343907e-08,16.514219056160442
"tf.Tensor(11.796247, shape=(), dtype=float32)","tf.Tensor(263.83392, shape=(), dtype=float32)",0.17,8.552581257375043e-08,16.274447605119395
"tf.Tensor(12.060081, shape=(), dtype=float32)","tf.Tensor(267.2734, shape=(), dtype=float32)",0.171,1.0849388226806368e-07,16.03657205018171
"tf.Tensor(12.327354, shape=(), dtype=float32)","tf.Tensor(270.7189, shape=(), dtype=float32)",0.17200000000000001,1.3737329819564816e-07,15.800563812320117
"tf.Tensor(12.598073, shape=(), dtype=float32)","tf.Tensor(274.1701, shape=(), dtype=float32)",0.17300000000000001,1.7362032623877603e-07,15.566394954945372
"tf.Tensor(12.872243, shape=(), dtype=float32)","tf.Tensor(277.62662, shape=(), dtype=float32)",0.17400000000000002,2.1903415384316712e-07,15.334038165667645
"tf.Tensor(13.14987, shape=(), dtype=float32)","tf.Tensor(281.0881, shape=(), dtype=float32)",0.17500000000000002,2.7583396163901984e-07,15.103466740520508
"tf.Tensor(13.430958, shape=(), dtype=float32)","tf.Tensor(284.55423, shape=(), dtype=float32)",0.176,3.467525007534707e-07,14.87465456579919
"tf.Tensor(13.715512, shape=(), dtype=float32)","tf.Tensor(288.02463, shape=(), dtype=float32)",0.177,4.351495383646564e-07,14.64757609857631
"tf.Tensor(14.003537, shape=(), dtype=float32)","tf.Tensor(291.49896, shape=(), dtype=float32)",0.178,5.45149181915073e-07,14.422206351455381
