x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.004626114440394005, shape=(), dtype=float64)","tf.Tensor(0.2955648238930716, shape=(), dtype=float64)",0.017,"tf.Tensor(1.2686578616730002e-29, shape=(), dtype=float64)","tf.Tensor(66.5370081569979, shape=(), dtype=float64)","tf.Tensor([[ 8.93732553e-03 -9.61312020e-07 -4.11749138e-01  2.95311465e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.004921679264287077, shape=(), dtype=float64)","tf.Tensor(-0.37785726239027184, shape=(), dtype=float64)",0.018000000000000002,"tf.Tensor(1.704007283260868e-28, shape=(), dtype=float64)","tf.Tensor(63.939399901221165, shape=(), dtype=float64)","tf.Tensor([[-2.75845837e-02  3.72012864e-06  1.12043685e+00 -6.50619791e-04]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.004543822001896805, shape=(), dtype=float64)","tf.Tensor(2.0483688461204803, shape=(), dtype=float64)",0.019,"tf.Tensor(3.761866730560808e-27, shape=(), dtype=float64)","tf.Tensor(60.8448822057445, shape=(), dtype=float64)","tf.Tensor([[ 1.00615551e-01 -1.30922750e-05 -4.22876610e+00  2.65421352e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.006592190848017285, shape=(), dtype=float64)","tf.Tensor(0.607220313142266, shape=(), dtype=float64)",0.02,"tf.Tensor(2.284432738868603e-26, shape=(), dtype=float64)","tf.Tensor(59.04109467864369, shape=(), dtype=float64)","tf.Tensor([[ 2.28949978e-01 -3.02541724e-05 -9.55532953e+00  5.93410175e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.007199411161159551, shape=(), dtype=float64)","tf.Tensor(-0.7426183172464393, shape=(), dtype=float64)",0.021,"tf.Tensor(8.497487463285719e-26, shape=(), dtype=float64)","tf.Tensor(57.72744189059963, shape=(), dtype=float64)","tf.Tensor([[ 3.57486943e-01 -4.79551474e-05 -1.48588557e+01  9.19558240e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0064567928439131115, shape=(), dtype=float64)","tf.Tensor(2.487603010404465, shape=(), dtype=float64)",0.022,"tf.Tensor(7.205661323486368e-25, shape=(), dtype=float64)","tf.Tensor(55.58976031286838, shape=(), dtype=float64)","tf.Tensor([[ 4.86298192e-01 -6.62482201e-05 -2.01344656e+01  1.24447382e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.008944395854317576, shape=(), dtype=float64)","tf.Tensor(1.3096878385188833, shape=(), dtype=float64)",0.023,"tf.Tensor(4.2209484320276575e-24, shape=(), dtype=float64)","tf.Tensor(53.821982382135, shape=(), dtype=float64)","tf.Tensor([[ 6.15458863e-01 -8.50590609e-05 -2.53862757e+01  1.56662305e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.010254083692836459, shape=(), dtype=float64)","tf.Tensor(0.2327863899147926, shape=(), dtype=float64)",0.024,"tf.Tensor(1.6389144034466884e-23, shape=(), dtype=float64)","tf.Tensor(52.465423065329865, shape=(), dtype=float64)","tf.Tensor([[ 7.45047376e-01 -1.04617671e-04 -3.06139007e+01  1.88653850e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.01048687008275125, shape=(), dtype=float64)","tf.Tensor(0.4591244590867363, shape=(), dtype=float64)",0.025,"tf.Tensor(3.936573013908926e-23, shape=(), dtype=float64)","tf.Tensor(51.58914658746713, shape=(), dtype=float64)","tf.Tensor([[ 2.93944407e-01 -3.73222315e-05 -1.23700065e+01  7.69949455e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.010945994541837986, shape=(), dtype=float64)","tf.Tensor(-0.2286196895180927, shape=(), dtype=float64)",0.026000000000000002,"tf.Tensor(6.8667084736162975e-22, shape=(), dtype=float64)","tf.Tensor(48.73018717036939, shape=(), dtype=float64)","tf.Tensor([[ 1.87124265e+00 -2.73421154e-04 -7.61110321e+01  4.67079516e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.010717374852319893, shape=(), dtype=float64)","tf.Tensor(2.2766558549645715, shape=(), dtype=float64)",0.027,"tf.Tensor(8.939202981521342e-21, shape=(), dtype=float64)","tf.Tensor(46.163840519618915, shape=(), dtype=float64)","tf.Tensor([[-3.63149667e+00  5.49434837e-04  1.46319667e+02 -8.94148665e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.012994030707284466, shape=(), dtype=float64)","tf.Tensor(1.611796919001983, shape=(), dtype=float64)",0.028,"tf.Tensor(5.2083093653734135e-20, shape=(), dtype=float64)","tf.Tensor(44.40144655478545, shape=(), dtype=float64)","tf.Tensor([[-9.10722689e+00  1.36746402e-03  3.67716252e+02 -2.24916848e-01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.014605827626286448, shape=(), dtype=float64)","tf.Tensor(1.0619330077113243, shape=(), dtype=float64)",0.029,"tf.Tensor(1.6952837332133607e-19, shape=(), dtype=float64)","tf.Tensor(43.22126664583713, shape=(), dtype=float64)","tf.Tensor([[-1.45554472e+01  2.18039720e-03  5.88062616e+02 -3.59784975e-01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.015667760633997774, shape=(), dtype=float64)","tf.Tensor(0.6295416479949967, shape=(), dtype=float64)",0.03,"tf.Tensor(5.405301386296827e-19, shape=(), dtype=float64)","tf.Tensor(42.0617365567033, shape=(), dtype=float64)","tf.Tensor([[-1.99756586e+01  2.98802949e-03  8.07342827e+02 -4.94006886e-01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.01629730228199277, shape=(), dtype=float64)","tf.Tensor(0.3169644237592807, shape=(), dtype=float64)",0.031,"tf.Tensor(1.9663658190181867e-18, shape=(), dtype=float64)","tf.Tensor(40.77034459673146, shape=(), dtype=float64)","tf.Tensor([[-2.53673641e+01  3.79020918e-03  1.02554113e+03 -6.27570885e-01]], shape=(1, 4), dtype=float64)"
