global_step=7612, episodic_return=[-39931.688]
global_step=7752, episodic_return=[-39877.617]
global_step=7756, episodic_return=[-39892.883]
global_step=7792, episodic_return=[-39383.523]
global_step=7812, episodic_return=[-39842.023]
global_step=7944, episodic_return=[-39874.8]
global_step=7956, episodic_return=[-39884.914]
global_step=7992, episodic_return=[-39850.26]
global_step=8044, episodic_return=[-39755.03]
global_step=8124, episodic_return=[-39920.613]
global_step=8140, episodic_return=[-39932.535]
global_step=8180, episodic_return=[-39882.19]
SPS: 353
global_step=8260, episodic_return=[-39738.555]
global_step=8300, episodic_return=[-39902.88]
global_step=8336, episodic_return=[-39873.32]
global_step=8372, episodic_return=[-39871.965]
global_step=8464, episodic_return=[-39859.86]
global_step=8500, episodic_return=[-39847.684]
global_step=8528, episodic_return=[-39885.61]
global_step=8576, episodic_return=[-39820.445]
global_step=8644, episodic_return=[-39984.812]
global_step=8684, episodic_return=[-39600.027]
global_step=8780, episodic_return=[-39817.52]
global_step=8828, episodic_return=[-38171.99]
global_step=8864, episodic_return=[-39660.555]
global_step=8900, episodic_return=[-39794.355]
global_step=8972, episodic_return=[-39888.867]
global_step=9008, episodic_return=[-39909.4]
global_step=9124, episodic_return=[-39963.58]
global_step=9128, episodic_return=[-38818.78]
global_step=9168, episodic_return=[-39217.797]
global_step=9280, episodic_return=[-39264.895]
global_step=9332, episodic_return=[-39877.773]
global_step=9360, episodic_return=[-39875.62]
global_step=9412, episodic_return=[-39146.188]
global_step=9520, episodic_return=[-39903.793]
global_step=9540, episodic_return=[-39137.61]
global_step=9540, episodic_return=[-39913.91]
global_step=9604, episodic_return=[-39910.69]
global_step=9700, episodic_return=[-39887.395]
global_step=9740, episodic_return=[-39870.516]
global_step=9788, episodic_return=[-39613.13]
global_step=9796, episodic_return=[-39887.918]
global_step=9940, episodic_return=[-39391.633]
global_step=9972, episodic_return=[-39738.816]
global_step=10044, episodic_return=[-39466.56]
global_step=10048, episodic_return=[-39443.71]
global_step=10116, episodic_return=[-39895.797]
global_step=10232, episodic_return=[-39334.72]
global_step=10240, episodic_return=[-39845.98]
global_step=10260, episodic_return=[-39771.062]
global_step=10380, episodic_return=[-39132.25]
global_step=10452, episodic_return=[-39777.445]
global_step=10472, episodic_return=[-39799.234]
global_step=10492, episodic_return=[-39660.383]
global_step=10556, episodic_return=[-39927.207]
global_step=10636, episodic_return=[-39880.098]
global_step=10656, episodic_return=[-39905.773]
global_step=10720, episodic_return=[-39666.324]
global_step=10796, episodic_return=[-39646.07]
global_step=10844, episodic_return=[-39819.285]
global_step=10852, episodic_return=[-39852.223]
global_step=10896, episodic_return=[-39936.117]
global_step=10980, episodic_return=[-39898.492]
global_step=11020, episodic_return=[-39896.055]
global_step=11064, episodic_return=[-39823.688]
global_step=11112, episodic_return=[-39786.312]
global_step=11180, episodic_return=[-39889.]
global_step=11204, episodic_return=[-39881.168]
global_step=11312, episodic_return=[-39706.27]
global_step=11396, episodic_return=[-38780.965]
global_step=11412, episodic_return=[-39514.395]
global_step=11436, episodic_return=[-39832.]
global_step=11520, episodic_return=[-39760.715]
global_step=11584, episodic_return=[-39903.297]
global_step=11668, episodic_return=[-39640.43]
global_step=11676, episodic_return=[-39659.027]
global_step=11768, episodic_return=[-39706.445]
global_step=11852, episodic_return=[-39332.508]
global_step=11872, episodic_return=[-39824.473]
global_step=11920, episodic_return=[-39509.965]
global_step=11964, episodic_return=[-39861.258]
global_step=12048, episodic_return=[-39864.33]
global_step=12076, episodic_return=[-39751.16]
global_step=12084, episodic_return=[-39946.254]
global_step=12184, episodic_return=[-39777.91]
global_step=12228, episodic_return=[-39923.117]
global_step=12300, episodic_return=[-39823.598]
global_step=12336, episodic_return=[-39166.934]
global_step=12412, episodic_return=[-39640.816]
global_step=12444, episodic_return=[-39814.305]
global_step=12452, episodic_return=[-39970.92]
global_step=12596, episodic_return=[-39395.098]
global_step=12620, episodic_return=[-39928.527]
global_step=12644, episodic_return=[-39914.152]
global_step=12664, episodic_return=[-39385.54]
global_step=12792, episodic_return=[-39897.375]
global_step=12820, episodic_return=[-39844.348]
global_step=12828, episodic_return=[-39887.605]
global_step=12876, episodic_return=[-39819.81]
global_step=13004, episodic_return=[-39903.336]
global_step=13012, episodic_return=[-39821.34]
global_step=13040, episodic_return=[-39744.28]
global_step=13044, episodic_return=[-39923.754]
global_step=13200, episodic_return=[-39961.3]
global_step=13208, episodic_return=[-39866.523]
global_step=13212, episodic_return=[-39889.258]
global_step=13304, episodic_return=[-39463.117]
global_step=13360, episodic_return=[-39965.54]
global_step=13400, episodic_return=[-39913.965]
global_step=13408, episodic_return=[-39933.984]
global_step=13528, episodic_return=[-39770.434]
global_step=13564, episodic_return=[-39807.293]
global_step=13608, episodic_return=[-39771.84]
global_step=13644, episodic_return=[-39728.094]
global_step=13784, episodic_return=[-39893.68]
global_step=13784, episodic_return=[-39446.035]
global_step=13816, episodic_return=[-39511.645]
global_step=13840, episodic_return=[-39833.414]
global_step=13968, episodic_return=[-39909.785]
global_step=14040, episodic_return=[-39757.973]
global_step=14044, episodic_return=[-39486.285]
global_step=14100, episodic_return=[-39707.188]
global_step=14180, episodic_return=[-39862.664]
global_step=14256, episodic_return=[-39795.523]
global_step=14288, episodic_return=[-39952.656]
global_step=14340, episodic_return=[-38667.37]
global_step=14400, episodic_return=[-39701.33]
global_step=14456, episodic_return=[-39789.176]
global_step=14540, episodic_return=[-39616.77]
global_step=14592, episodic_return=[-39364.734]
global_step=14668, episodic_return=[-39141.27]
global_step=14692, episodic_return=[-39443.06]
global_step=14736, episodic_return=[-39824.324]
global_step=14792, episodic_return=[-39804.867]
global_step=14892, episodic_return=[-39795.38]
global_step=14912, episodic_return=[-39947.543]
global_step=14928, episodic_return=[-39672.98]
global_step=14984, episodic_return=[-39853.332]
global_step=15148, episodic_return=[-39601.74]
global_step=15156, episodic_return=[-39920.99]
global_step=15180, episodic_return=[-38963.812]
global_step=15240, episodic_return=[-38466.402]
global_step=15344, episodic_return=[-39873.37]
